sentence,q1,q2,q3,q4,img_file
"a boy with a yellow shirt on it sitting , holding an electric guitar , and singing into a microphone .",indoors,man-made,recreation,NA,3048071554.jpg
a young man in a yellow shirt with a guitar singing into a microphone while another plays his guitar .,indoors,man-made,recreation,NA,3048071554.jpg
a man in a yellow shirt is singing into a microphone while holding a guitar .,indoors,man-made,recreation,NA,3048071554.jpg
a man with a yellow shirt is singing into a microphone .,indoors,man-made,recreation,NA,3048071554.jpg
two musicians are making music .,indoors,man-made,recreation,NA,3048071554.jpg
"a group of people fixing their bikes in a wooded area , there is a man with a green shirt with navy shorts fixing one bike with the company of a young woman , and in the background there are more bikes being fixed .",outdoors,natural,NA,field_forest,304943321.jpg
several bikers are stopped in the woods preparing their bicycles for a ride .,outdoors,natural,NA,field_forest,304943321.jpg
a group of bike-riders inspect the wheels of their up-turned bikes .,outdoors,natural,NA,field_forest,304943321.jpg
five people are inspecting bicycles outside in a wooded area .,outdoors,natural,NA,field_forest,304943321.jpg
people fixing bikes in a forest location .,outdoors,natural,NA,field_forest,304943321.jpg
a man is swimming with a little girl wearing a pink life jacket in an indoor pool,indoors,man-made,recreation,NA,3051022611.jpg
a man with glasses and a little girl with a life jacket swimming in a pool .,indoors,man-made,recreation,NA,3051022611.jpg
a man and young girl are swimming in a pool together .,indoors,man-made,recreation,NA,3051022611.jpg
there is a man swimming with a child .,indoors,man-made,recreation,NA,3051022611.jpg
a little girl learning how to swim .,indoors,man-made,recreation,NA,3051022611.jpg
"a woman in a sweatshirt and sweatpants is crouched down on a carpeted floor , playing with a brown dog .",indoors,man-made,domestic,NA,3052583479.jpg
a tan dog with a black collar on and his master playing around in their free time .,indoors,man-made,domestic,NA,3052583479.jpg
"a woman in dark clothing playing with her big , brown dog in her house .",indoors,man-made,domestic,NA,3052583479.jpg
woman in a black hooded sweatshirt playing with her dog on the floor .,indoors,man-made,domestic,NA,3052583479.jpg
a woman is playing on the floor with a large dog .,indoors,man-made,domestic,NA,3052583479.jpg
"two older women , one on a bicycle talking in front of a sign in a city with an older gentleman looking on .",outdoors,man-made,transportation_urban,NA,3054659074.jpg
a man watching as one woman in a brown coat is talking to another woman in a gray coat .,outdoors,man-made,transportation_urban,NA,3054659074.jpg
here is a picture of a man standing in front a billboard and talking to another man .,outdoors,man-made,transportation_urban,NA,3054659074.jpg
two elderly ladies and a gentleman are talking on the street in europe .,outdoors,man-made,transportation_urban,NA,3054659074.jpg
an old man and two old women standing on a german street .,outdoors,man-made,transportation_urban,NA,3054659074.jpg
a man working with something on or in his canoe that is under some trees on a beach that overlooks other boats in the water by him .,outdoors,natural,NA,body_of_water,305615920.jpg
a man in a black shirt is standing on a beach working on a handmade canoe .,outdoors,natural,NA,body_of_water,305615920.jpg
a man drags a boat from underneath the trees to the shore .,outdoors,natural,NA,body_of_water,305615920.jpg
someone is taking a brown canoe down to the lake .,outdoors,natural,NA,body_of_water,305615920.jpg
a man working on his boat in the seashore,outdoors,natural,NA,body_of_water,305615920.jpg
"woman is working on a loom weaving a patterned carpet of red , white , and blue .",indoors,man-made,work_education,NA,3058361320.jpg
a woman in a textile factory is making a red and yellow patterned textile .,indoors,man-made,work_education,NA,3058361320.jpg
a woman works a traditional loom to make a rug .,indoors,man-made,work_education,NA,3058361320.jpg
one indian lady at a weave making a blanket .,indoors,man-made,work_education,NA,3058361320.jpg
a woman putting together a rug .,indoors,man-made,work_education,NA,3058361320.jpg
"a person is sitting on a yellow picnic table with a water bottle , while a baby stroller sits beside her .",outdoors,man-made,recreation,NA,305979887.jpg
a woman having her time thinking of how she will break away from her drinking husband,outdoors,man-made,recreation,NA,305979887.jpg
"a woman wearing gray , sitting on a picnic table by a baby stroller .",outdoors,man-made,recreation,NA,305979887.jpg
a woman next to a stroller stops for a drink of water on a bench .,outdoors,man-made,recreation,NA,305979887.jpg
a woman sits on a park picnic table near a stroller .,outdoors,man-made,recreation,NA,305979887.jpg
a woman in a green tank top and a shirtless little girl play with nesting dolls on a cluttered table .,indoors,man-made,domestic,NA,30605277.jpg
a mother in a green shirt spending time with her young toddler in pink shorts,indoors,man-made,domestic,NA,30605277.jpg
a white woman in a green shirt talking to a child with no shirt on .,indoors,man-made,domestic,NA,30605277.jpg
a woman and a girl are playing together .,indoors,man-made,domestic,NA,30605277.jpg
a mother helps her daughter out .,indoors,man-made,domestic,NA,30605277.jpg
a young child with no shirt and flip-flops sits on a skateboard in the middle of a street .,outdoors,man-made,transportation_urban,NA,3060537675.jpg
a young shirtless boy in blue jeans and sandals sits on a skateboard .,outdoors,man-made,transportation_urban,NA,3060537675.jpg
a young boy is sitting on a skateboard in the middle of the street .,outdoors,man-made,transportation_urban,NA,3060537675.jpg
the shirtless boy is sitting on a skateboard .,outdoors,man-made,transportation_urban,NA,3060537675.jpg
the boy is riding his skateboard .,outdoors,man-made,transportation_urban,NA,3060537675.jpg
a young boy dressed in a suit concentrates on his footwork with a peace sign in the air .,outdoors,man-made,other_unclear,NA,3060594966.jpg
a child wearing a blue shirt is walking on the street holding up two fingers .,outdoors,man-made,other_unclear,NA,3060594966.jpg
a small boy wearing a long-sleeved shirt and slacks is walking outdoors .,outdoors,man-made,other_unclear,NA,3060594966.jpg
a boy in a blue dress shirt dances in a courtyard .,outdoors,man-made,other_unclear,NA,3060594966.jpg
a young boy walks down a sidewalk .,outdoors,man-made,other_unclear,NA,3060594966.jpg
a man standing on the street with a large bag on his back and holding several shopping bags in his hands,outdoors,man-made,transportation_urban,NA,3061422245.jpg
someone is carrying an excessive amount of heavily loaded bags .,outdoors,man-made,transportation_urban,NA,3061422245.jpg
a man walking down the road with a bunch of bags,outdoors,man-made,transportation_urban,NA,3061422245.jpg
a person is carrying many bags .,outdoors,man-made,transportation_urban,NA,3061422245.jpg
a person carrying many bags .,outdoors,man-made,transportation_urban,NA,3061422245.jpg
two motorcyclists riding tandom on a biek down the street .,outdoors,man-made,transportation_urban,NA,3061481868.jpg
two people are on a black motorcycle driving very fast .,outdoors,man-made,transportation_urban,NA,3061481868.jpg
two people ride together on a motorcycle,outdoors,man-made,transportation_urban,NA,3061481868.jpg
two people riding a motorcycle .,outdoors,man-made,transportation_urban,NA,3061481868.jpg
two people on a motorcycle .,outdoors,man-made,transportation_urban,NA,3061481868.jpg
there is an open ' abarrotes mexico ' store with a man standing in front of it .,outdoors,man-made,transportation_urban,NA,306315650.jpg
a woman in mexico does needlepoint while tending a store .,outdoors,man-made,transportation_urban,NA,306315650.jpg
an indian woman stands in an outdoor marketplace .,outdoors,man-made,transportation_urban,NA,306315650.jpg
a woman is shopping in an outdoor marketplace .,outdoors,man-made,transportation_urban,NA,306315650.jpg
a lady stands outside of a mexican market .,outdoors,man-made,transportation_urban,NA,306315650.jpg
a little boy in a pool gives a thumbs up to the camera as another swims away .,outdoors,man-made,recreation,NA,306395036.jpg
young boy giving a thumbs up in a pool why holding into the side of the pool .,outdoors,man-made,recreation,NA,306395036.jpg
a little boy playing in the pool giving a thumbs up .,outdoors,man-made,recreation,NA,306395036.jpg
a young boy giving a thumbs up to the camera .,outdoors,man-made,recreation,NA,306395036.jpg
a little boy in a swimming pool .,outdoors,man-made,recreation,NA,306395036.jpg
a policeman assisting a young protester off the ground while the protester objects to his assistance .,outdoors,man-made,transportation_urban,NA,3064436138.jpg
"a male protester , in a blue shirt , is laying on the ground while an officer talks to him .",outdoors,man-made,transportation_urban,NA,3064436138.jpg
the man in the blue shirt was knocked down by the officer .,outdoors,man-made,transportation_urban,NA,3064436138.jpg
an officer knocking a man to the ground as others flee .,outdoors,man-made,transportation_urban,NA,3064436138.jpg
a bearded man being beat by a police officer .,outdoors,man-made,transportation_urban,NA,3064436138.jpg
a small child in a coat is running through some dead leaves on the ground next to a road .,outdoors,natural,NA,field_forest,3064578434.jpg
a little boy wearing a coat kick some leaves that had fallen on the ground .,outdoors,natural,NA,field_forest,3064578434.jpg
"a toddler wearing a dark blue jacket , kicks leaves on the ground .",outdoors,natural,NA,field_forest,3064578434.jpg
a young boy kicks at the autumn leaves beneath his feet .,outdoors,natural,NA,field_forest,3064578434.jpg
"little boy in black jacket , kicking leaves .",outdoors,natural,NA,field_forest,3064578434.jpg
a smiling man leaning back from a table with an ashtray on top .,indoors,man-made,restaurant,NA,3066338314.jpg
a man wearing a black shirt laughs while sitting at the table .,indoors,man-made,restaurant,NA,3066338314.jpg
the man sitting at the table is posing for a picture .,indoors,man-made,restaurant,NA,3066338314.jpg
a man in black is sitting in a restaurant .,indoors,man-made,restaurant,NA,3066338314.jpg
a man sits at a table .,indoors,man-made,restaurant,NA,3066338314.jpg
two people and their luggage traveling and snoozing on the train .,indoors,man-made,transportation_urban,NA,3071144200.jpg
two people on the subway are sleeping in the corner .,indoors,man-made,transportation_urban,NA,3071144200.jpg
a homeless person is sleeping on the subway .,indoors,man-made,transportation_urban,NA,3071144200.jpg
two elderly women sit on a subway train .,indoors,man-made,transportation_urban,NA,3071144200.jpg
an older woman sleeps on the subway .,indoors,man-made,transportation_urban,NA,3071144200.jpg
a young girl wearing screen printed teal tank top and white embellished summer pants walks up a sidewalk path while carrying an orange lunch box .,outdoors,man-made,transportation_urban,NA,3072650525.jpg
a little girl wearing a blue shirt and carrying an orange lunchbox is walking up the sidewalk with a group of other children behind her .,outdoors,man-made,transportation_urban,NA,3072650525.jpg
a young girl walks towards the camera appearing unhappy as she walks away from other children .,outdoors,man-made,transportation_urban,NA,3072650525.jpg
children of elementary school age walk along a sidewalk .,outdoors,man-made,transportation_urban,NA,3072650525.jpg
a girl in a blue shirt with a lunch box is walking .,outdoors,man-made,transportation_urban,NA,3072650525.jpg
a man in a red shirt sitting on a plastic stool in a shaded sandy area .,outdoors,man-made,domestic,NA,307301755.jpg
a man sitting and leaning against a pole holding a small animal .,outdoors,man-made,domestic,NA,307301755.jpg
a man sits on a blue bench and leans against a wood pole .,outdoors,man-made,domestic,NA,307301755.jpg
a man in a blue cap is sitting on a stool under a tree .,outdoors,man-made,domestic,NA,307301755.jpg
a black man sitting next to a tree in a rural area .,outdoors,man-made,domestic,NA,307301755.jpg
a yellow dog stands in a road surrounded by children in blue shirts .,outdoors,man-made,transportation_urban,NA,307321761.jpg
group of little girls and a dog standing on the road .,outdoors,man-made,transportation_urban,NA,307321761.jpg
children in uniforms stand in the road with a dog .,outdoors,man-made,transportation_urban,NA,307321761.jpg
a group of children in uniforms stand outside .,outdoors,man-made,transportation_urban,NA,307321761.jpg
several young girls stand in a rural road .,outdoors,man-made,transportation_urban,NA,307321761.jpg
man with facial hair wearing red and white palestinian style headscarf .,outdoors,man-made,transportation_urban,NA,3073579130.jpg
"an man wearing an arab scarf , with another man in the background .",outdoors,man-made,transportation_urban,NA,3073579130.jpg
a man with a head covering .,outdoors,man-made,transportation_urban,NA,3073579130.jpg
a man wears a red bandanna,outdoors,man-made,transportation_urban,NA,3073579130.jpg
a white man in a turban .,outdoors,man-made,transportation_urban,NA,3073579130.jpg
a crowd in which two men are wearing santa claus hats are celebrating christmas outside of a bank of america and a christmas tree .,outdoors,man-made,transportation_urban,NA,3075749639.jpg
"people gather around a christmas tree , including some wearing santa hats , during a christmas celebration outdoors .",outdoors,man-made,transportation_urban,NA,3075749639.jpg
a crowd of people gathered on a sidewalk near a large christmas tree and speakers .,outdoors,man-made,transportation_urban,NA,3075749639.jpg
a group of people have a christmas party on 18th street in an unknown city .,outdoors,man-made,transportation_urban,NA,3075749639.jpg
a group of people standing around a public square christmas tree .,outdoors,man-made,transportation_urban,NA,3075749639.jpg
"two black , brown and white dogs run along the countryside with white sheep in the background .",outdoors,natural,NA,field_forest,3076052114.jpg
two dogs running across a green field with two white animals in the background .,outdoors,natural,NA,field_forest,3076052114.jpg
two black dogs run in a grass field with two white sheep in the background .,outdoors,natural,NA,field_forest,3076052114.jpg
two dogs are walking through a sheep field .,outdoors,natural,NA,field_forest,3076052114.jpg
two dogs run in a field herding sheep .,outdoors,natural,NA,field_forest,3076052114.jpg
many men walk down the tracks while wearing construction gear in what appears to be a subway station being built .,outdoors,man-made,work_education,NA,3078084729.jpg
"construction workers walking through a construction zone , it looks to be raining .",outdoors,man-made,work_education,NA,3078084729.jpg
a line of construction workers walk along a train track under an overpass .,outdoors,man-made,work_education,NA,3078084729.jpg
workers walk along railroad tracks entering a tunnel .,outdoors,man-made,work_education,NA,3078084729.jpg
construction workers walking along train tracks .,outdoors,man-made,work_education,NA,3078084729.jpg
a woman holding a purse waits as the passenger train passes by .,indoors,man-made,transportation_urban,NA,3078113137.jpg
a person in dark clothing is standing in front of a train .,indoors,man-made,transportation_urban,NA,3078113137.jpg
a lady with a handbag is standing next to a train .,indoors,man-made,transportation_urban,NA,3078113137.jpg
an individual stands facing a moving train,indoors,man-made,transportation_urban,NA,3078113137.jpg
a lady waiting alone at a subway stop .,indoors,man-made,transportation_urban,NA,3078113137.jpg
crowd watching a group of people doing some sort of dance and musical performance on a stage .,indoors,man-made,recreation,NA,3079315369.jpg
a group of people wearing various shades of white performs at an activity center on stage .,indoors,man-made,recreation,NA,3079315369.jpg
a stage performance appears to lead to violence while the band plays on .,indoors,man-made,recreation,NA,3079315369.jpg
audiences enjoy a lively spanish-language musical performance .,indoors,man-made,recreation,NA,3079315369.jpg
a group of people are on a stage in front of an audience .,indoors,man-made,recreation,NA,3079315369.jpg
a woman in a red sweater and a girl is in front of a girl in a green hoodie & a girl with a brown jacket and pink purse .,outdoors,man-made,transportation_urban,NA,3079917032.jpg
a woman in a red sweater walks by two younger women talking near a busy street .,outdoors,man-made,transportation_urban,NA,3079917032.jpg
two asian women are talking behind an older woman who is wearing a red sweater .,outdoors,man-made,transportation_urban,NA,3079917032.jpg
a woman in a red sweater walks past two younger women who are chatting .,outdoors,man-made,transportation_urban,NA,3079917032.jpg
"three asian women , two young , one old , on an urban sidewalk .",outdoors,man-made,transportation_urban,NA,3079917032.jpg
a boy performs a high-flying trick with his bicycle on a prepared course .,indoors,man-made,recreation,NA,3081182021.jpg
a man jumps high in the air above a wooden ramp with a bicycle .,indoors,man-made,recreation,NA,3081182021.jpg
a bike rider jumping into the air over a wooden ramp .,indoors,man-made,recreation,NA,3081182021.jpg
a person doing bicycle tricks on a wooden ramp .,indoors,man-made,recreation,NA,3081182021.jpg
a biker does a trick on a ramp .,indoors,man-made,recreation,NA,3081182021.jpg
the man has a blue shirt on and is standing in front of some snowy mountains .,outdoors,natural,NA,mountain,3081330705.jpg
a man stands on a mountaintop looking over dry forests and lakes .,outdoors,natural,NA,mountain,3081330705.jpg
a man is on top of a cliff overlooking a forest and lake .,outdoors,natural,NA,mountain,3081330705.jpg
a man stands on a mountain overlooking trees and a lake .,outdoors,natural,NA,mountain,3081330705.jpg
a man on a cliff .,outdoors,natural,NA,mountain,3081330705.jpg
a street performer is holding something that looks like a bagpipe and someone is holding up a cd of his music with his photo pressed on it .,outdoors,man-made,transportation_urban,NA,3082199437.jpg
the photographer is holding up a disc that has an image on it that looks similar to the gentleman he is taking a picture of .,outdoors,man-made,transportation_urban,NA,3082199437.jpg
an older man wearing a gray hat carrying a strange instrument standing on a sidewalk .,outdoors,man-made,transportation_urban,NA,3082199437.jpg
a man displays a boja fadaw scene next to the man himself playing the bagpipes .,outdoors,man-made,transportation_urban,NA,3082199437.jpg
boja tajdaw takes a picture with his instrument .,outdoors,man-made,transportation_urban,NA,3082199437.jpg
a woman holding a red cup with a straw in it sits in front of a man and a woman looking at a book .,indoors,man-made,domestic,NA,3084001782.jpg
a woman holds a drink while a man and a woman examine a book .,indoors,man-made,domestic,NA,3084001782.jpg
a man and a woman read a book while their friend has a drink .,indoors,man-made,domestic,NA,3084001782.jpg
two women and a man are looking at a book .,indoors,man-made,domestic,NA,3084001782.jpg
three people are gathered for a picture .,indoors,man-made,domestic,NA,3084001782.jpg
five men assisting with the loading of a truck while three women observe .,outdoors,man-made,transportation_urban,NA,3084753195.jpg
many people in heavy coats are helping to unload boxes out of a truck .,outdoors,man-made,transportation_urban,NA,3084753195.jpg
people unloading goods from a truck .,outdoors,man-made,transportation_urban,NA,3084753195.jpg
people waiting to unload a truck .,outdoors,man-made,transportation_urban,NA,3084753195.jpg
eight people help load a truck .,outdoors,man-made,transportation_urban,NA,3084753195.jpg
a tan bird stands on a ledge about to eat something .,outdoors,natural,NA,other_unclear,308487515.jpg
"a small , pale bird bends down to examine a crumb .",outdoors,natural,NA,other_unclear,308487515.jpg
the bird leans over to a small piece of food .,outdoors,natural,NA,other_unclear,308487515.jpg
a small white bird looks at a small object .,outdoors,natural,NA,other_unclear,308487515.jpg
a bird eating .,outdoors,natural,NA,other_unclear,308487515.jpg
four boys are playing hockey in rollerskates while wearing blue and white safety gear .,indoors,man-made,recreation,NA,3085017634.jpg
"young men in white jerseys , playing a form of roller hockey .",indoors,man-made,recreation,NA,3085017634.jpg
children on rollerblades are playing hockey indoors .,indoors,man-made,recreation,NA,3085017634.jpg
young hockey players play on rollerskates .,indoors,man-made,recreation,NA,3085017634.jpg
young roller hockey player makes a shot .,indoors,man-made,recreation,NA,3085017634.jpg
"a group of six adult hikers gather on a dirt road in front of a few trees in the afternoon while their leader stands in the foreground in a green jacket , pointing at something just ahead .",outdoors,natural,NA,field_forest,3085517960.jpg
"a ground of hikers wearing green , red , and black standing on dirt in a wooded area .",outdoors,natural,NA,field_forest,3085517960.jpg
seven hikers pause on a path while their leader directs their attention ahead .,outdoors,natural,NA,field_forest,3085517960.jpg
seven warmly dressed people are standing in the outdoors .,outdoors,natural,NA,field_forest,3085517960.jpg
a group of people are hiking in the forest .,outdoors,natural,NA,field_forest,3085517960.jpg
a large number of people are sitting around several tables .,indoors,man-made,work_education,NA,3085592876.jpg
a group of people are sitting around tables in a room .,indoors,man-made,work_education,NA,3085592876.jpg
a group of people sitting around conference tables .,indoors,man-made,work_education,NA,3085592876.jpg
a meeting room full of happy faced people .,indoors,man-made,work_education,NA,3085592876.jpg
a group of people sitting at long tables .,indoors,man-made,work_education,NA,3085592876.jpg
a woman with a ponytail and another woman with a brown jacket donate to a food drive .,outdoors,man-made,transportation_urban,NA,3085594016.jpg
a woman passes a green back to another woman at a conagra illinois food bank event .,outdoors,man-made,transportation_urban,NA,3085594016.jpg
two women at a food bank in central illinois .,outdoors,man-made,transportation_urban,NA,3085594016.jpg
two women gathering cans for conagra foods .,outdoors,man-made,transportation_urban,NA,3085594016.jpg
two women lift a bag of canned food .,outdoors,man-made,transportation_urban,NA,3085594016.jpg
someone in a black sweatshirt and jeans leaps into the air on a beach while a kneeling person in jeans and a black jacket takes a photograph .,outdoors,natural,NA,body_of_water,308680206.jpg
two people dressed in black sweatshirts are enjoying athletic activities on a deserted beach .,outdoors,natural,NA,body_of_water,308680206.jpg
a person dressed in black clothing is jumping on a beach .,outdoors,natural,NA,body_of_water,308680206.jpg
a man in a black hoodie is jumping over a log .,outdoors,natural,NA,body_of_water,308680206.jpg
two friends having a great day on a beach .,outdoors,natural,NA,body_of_water,308680206.jpg
"brown and white dog runs towards camera , casting long shadow on dirt .",outdoors,natural,NA,body_of_water,3086810882.jpg
a dog runs across a barren ground casting a large shadow .,outdoors,natural,NA,body_of_water,3086810882.jpg
a small white dog runs across the sand .,outdoors,natural,NA,body_of_water,3086810882.jpg
a small dog jumping along the sand,outdoors,natural,NA,body_of_water,3086810882.jpg
dog running across sand .,outdoors,natural,NA,body_of_water,3086810882.jpg
a man in an orange shirt standing by a potted plant inside a building .,indoors,man-made,domestic,NA,3086848252.jpg
a man giving a present to someone and about to hug the other person .,indoors,man-made,domestic,NA,3086848252.jpg
a man in a collared shirt holds an unwrapped christmas gift .,indoors,man-made,domestic,NA,3086848252.jpg
a man wearing black pants and a red shirt raises his hand .,indoors,man-made,domestic,NA,3086848252.jpg
a man in a red collared shirt holds a gift wrapped box .,indoors,man-made,domestic,NA,3086848252.jpg
"several people wearing coats and jackets , packed closely together in a large store are waiting in a line .",indoors,man-made,other_unclear,NA,3086859525.jpg
the store is very busy and clustered with customers and their shopping carts waiting in line and shopping .,indoors,man-made,other_unclear,NA,3086859525.jpg
a seemingly upset crowd at a walmart checkout with several empty carts around them .,indoors,man-made,other_unclear,NA,3086859525.jpg
a line of people waiting in the electronics section of a walmart .,indoors,man-made,other_unclear,NA,3086859525.jpg
large line of people waiting to check out of a walmart .,indoors,man-made,other_unclear,NA,3086859525.jpg
"a man , woman , and two girls walk on the beach barefoot .",outdoors,natural,NA,body_of_water,3088322308.jpg
people walking in the water along the beach .,outdoors,natural,NA,body_of_water,3088322308.jpg
a group of people at a distance on a beach .,outdoors,natural,NA,body_of_water,3088322308.jpg
this family is walking on the beach .,outdoors,natural,NA,body_of_water,3088322308.jpg
four people are walking on a beach .,outdoors,natural,NA,body_of_water,3088322308.jpg
a man in a suit and top hat and a woman in a blue victorian dress sitting outside at a table .,outdoors,man-made,transportation_urban,NA,3088922727.jpg
a man and woman dressed in old fashion clothing sit outside at a table .,outdoors,man-made,transportation_urban,NA,3088922727.jpg
a man and a woman sit by a small table in colonial clothing .,outdoors,man-made,transportation_urban,NA,3088922727.jpg
a couple in old fashioned clothes sitting at a table outside,outdoors,man-made,transportation_urban,NA,3088922727.jpg
a couple in old clothing at an outdoor table .,outdoors,man-made,transportation_urban,NA,3088922727.jpg
the old grumpy man is buried at his desk and looks up just in time for the camera .,indoors,man-made,work_education,NA,3088979938.jpg
a man in a blue shirt and glasses typing at a desk with two computers on it .,indoors,man-made,work_education,NA,3088979938.jpg
an older gentleman is caught working in front of his two-monitored desk .,indoors,man-made,work_education,NA,3088979938.jpg
a man wearing a blue shirt sits at a messy desk with two computers .,indoors,man-made,work_education,NA,3088979938.jpg
a man sitting at his desk in front of a computer,indoors,man-made,work_education,NA,3088979938.jpg
a man on stage holds a hello kitty guitar and looks to the right of the picture .,indoors,man-made,recreation,NA,3089862485.jpg
a long-haired man stands at a microphone playing a pink hello kitty guitar .,indoors,man-made,recreation,NA,3089862485.jpg
a guitarist playing an electric guitar with hello kitty on the front .,indoors,man-made,recreation,NA,3089862485.jpg
a musician plays a hello kitty electric guitar .,indoors,man-made,recreation,NA,3089862485.jpg
a man is about to play his guitar .,indoors,man-made,recreation,NA,3089862485.jpg
"there is a woman in a sexy cop 's uniform and a guy dressed as a prisoner , standing outdoors .",outdoors,man-made,transportation_urban,NA,3090600019.jpg
a man dresses as a prisoner and a woman dressed as a cop on a sidewalk .,outdoors,man-made,transportation_urban,NA,3090600019.jpg
a man and a woman dressed as a prisoner and sexy police officer .,outdoors,man-made,transportation_urban,NA,3090600019.jpg
man stands next to woman dressed up as a fake police officer .,outdoors,man-made,transportation_urban,NA,3090600019.jpg
an attractive police lady and a jailbird pose for a photo .,outdoors,man-made,transportation_urban,NA,3090600019.jpg
a man standing on stage holding a bass guitar and drinking something out of a can .,indoors,man-made,restaurant,NA,3090877035.jpg
a guy with a white sweatshirt and guitar drinks from a can while on stage .,indoors,man-made,restaurant,NA,3090877035.jpg
man with guitar on stage drinking a can drink .,indoors,man-made,restaurant,NA,3090877035.jpg
man with a guitar drinking a canned drink .,indoors,man-made,restaurant,NA,3090877035.jpg
a man is playing an electric guitar .,indoors,man-made,restaurant,NA,3090877035.jpg
one of the three musicians had a very old red electric guitar .,indoors,man-made,recreation,NA,3091010827.jpg
a man with long hair wearing glasses and playing a guitar .,indoors,man-made,recreation,NA,3091010827.jpg
"a musician plays his old , red guitar in public .",indoors,man-made,recreation,NA,3091010827.jpg
a man dressed in black is playing a red guitar .,indoors,man-made,recreation,NA,3091010827.jpg
a black-haired man playing a guitar .,indoors,man-made,recreation,NA,3091010827.jpg
"holding the microphone with both hands , a man seems to be singing as a guitarist behind him plays a red guitar .",indoors,man-made,recreation,NA,3091863100.jpg
a man singing into a microphone as a part of his band .,indoors,man-made,recreation,NA,3091863100.jpg
a band is performing on stage at a place of business .,indoors,man-made,recreation,NA,3091863100.jpg
a middle-aged white man singing into a microphone .,indoors,man-made,recreation,NA,3091863100.jpg
a man in a black t-shirt and blue jeans performs .,indoors,man-made,recreation,NA,3091863100.jpg
two men in two canoes are sitting in a lake .,outdoors,natural,NA,body_of_water,3092200805.jpg
two people in canoes ride through the water .,outdoors,natural,NA,body_of_water,3092200805.jpg
two guys are rowing a canoe on a lake .,outdoors,natural,NA,body_of_water,3092200805.jpg
two men on canoes on a lake .,outdoors,natural,NA,body_of_water,3092200805.jpg
two men rowing in canoes .,outdoors,natural,NA,body_of_water,3092200805.jpg
"as a medium haired brunette wearing a brown shirt leans forward and looks on , an auburn-haired woman in a gray shirt is laughing , her head reared back somewhat as she holds a blue infant outfit , its price tag hanging just below the woman 's left hand .",indoors,man-made,domestic,NA,3093094737.jpg
a laughing woman holds up a blue baby 's one-piece jumper while another woman looks on .,indoors,man-made,domestic,NA,3093094737.jpg
one woman laughing while the other one is staring at the laughing one .,indoors,man-made,domestic,NA,3093094737.jpg
"two women sitting , one is in a chair holding a new baby outfit",indoors,man-made,domestic,NA,3093094737.jpg
this woman is laughing at her baby shower .,indoors,man-made,domestic,NA,3093094737.jpg
woman in a pink bikini leaping on the beach on a clear day while two children play by the water .,outdoors,natural,NA,body_of_water,3093325656.jpg
a woman and her two kids are on the beach and the woman is leaping high into the air .,outdoors,natural,NA,body_of_water,3093325656.jpg
a young girl practices gymnastics while two younger kids play in the background .,outdoors,natural,NA,body_of_water,3093325656.jpg
a girl in a pink bathing suit is doing an aerial split on a beach .,outdoors,natural,NA,body_of_water,3093325656.jpg
a girl in a pink bathing suit doing high jumps on a beach .,outdoors,natural,NA,body_of_water,3093325656.jpg
a group of teenagers stands outside the doorway of a building that has been vandalized and sprayed with graffiti .,outdoors,man-made,transportation_urban,NA,3093742683.jpg
a group of younger men standing outside the front of an abandoned building with graffiti on it .,outdoors,man-made,transportation_urban,NA,3093742683.jpg
a group of young people are standing in front of profane graffiti .,outdoors,man-made,transportation_urban,NA,3093742683.jpg
a group of people looking at graffiti on the side of a building .,outdoors,man-made,transportation_urban,NA,3093742683.jpg
children standing in front of an old decaying building .,outdoors,man-made,transportation_urban,NA,3093742683.jpg
"<number> people at or near small barricade in middle of street , other people nearby , crowd in the distance .",outdoors,man-made,transportation_urban,NA,3093744301.jpg
a man walks down an empty street noticing objects in the road before him .,outdoors,man-made,transportation_urban,NA,3093744301.jpg
a man with his back to the camera walks across a barricaded street .,outdoors,man-made,transportation_urban,NA,3093744301.jpg
a couple of men walking on a public city street .,outdoors,man-made,transportation_urban,NA,3093744301.jpg
somebody in the street with some sweatpants on .,outdoors,man-made,transportation_urban,NA,3093744301.jpg
"a drummer wearing a black shirt beating his red drums in a band , with a person dressed in black standing in front of him .",indoors,man-made,recreation,NA,3093988161.jpg
"an overweight man sits behind a red drum set , playing .",indoors,man-made,recreation,NA,3093988161.jpg
this man is playing a set of red drums .,indoors,man-made,recreation,NA,3093988161.jpg
a drummer playing a red drum set .,indoors,man-made,recreation,NA,3093988161.jpg
a man playing a red set of drums .,indoors,man-made,recreation,NA,3093988161.jpg
a person is swimming in crystal clear ocean water while his or her boat is anchored in the background .,outdoors,natural,NA,body_of_water,309430053.jpg
a person swims in a shallow turquoise sea toward an empty tethered rowboat .,outdoors,natural,NA,body_of_water,309430053.jpg
"a boat floats near someone swimming in clear , blue water .",outdoors,natural,NA,body_of_water,309430053.jpg
someone is swimming in the ocean near an unmanned rowboat .,outdoors,natural,NA,body_of_water,309430053.jpg
a boat floating on blue water .,outdoors,natural,NA,body_of_water,309430053.jpg
"a guy wearing a black hoodie and sunglasses is speaking into a microphone , while a guy in a ski mask plays a guitar in the background .",indoors,man-made,recreation,NA,3094928020.jpg
a guy in a black hoodie standing in front of a factory sign talks into a microphone .,indoors,man-made,recreation,NA,3094928020.jpg
man with sunglasses singing with his band .,indoors,man-made,recreation,NA,3094928020.jpg
