,Input.sentence,A176JUTGNWG7QJ,A17EZEAMF37MGQ,A2SMHEGRLML092,A2ZY94PZ5CVH0
179,dancers practicing their dance routines .,indoors/man-made/recreation,indoors/man-made/recreation,indoors/man-made/recreation,indoors/man-made/other_unclear
180,decorated limo passing by elderly woman waiting on park bench .,outdoors/man-made/recreation,outdoors/man-made/recreation,outdoors/man-made/other_unclear,outdoors/man-made/transportation_urban
181,decorated limo passing by elderly woman waiting on park bench in chinese street .,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban
182,four people in black shirts giving a presentation to a room full of people using a big projector image .,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/other_unclear
183,four people in black shirts giving a presentation to a room full of people using a big projector image on the wall .,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/other_unclear
184,four women are on stage singing .,indoors/man-made/recreation,indoors/man-made/other_unclear,indoors/man-made/recreation,indoors/man-made/recreation
185,four women are singing .,indoors/man-made/recreation,indoors/man-made/other_unclear,indoors/man-made/recreation,indoors/man-made/other_unclear
186,four young adults sit,indoors/man-made/restaurant,outdoors/natural/other_unclear,indoors/man-made/domestic,indoors/man-made/other_unclear
187,girl wearing blue shirt and black shorts plays trumped .,indoors/man-made/work_education,outdoors/natural/other_unclear,indoors/man-made/recreation,indoors/man-made/other_unclear
188,girl wearing blue shirt and black shorts plays trumped outside .,outdoors/man-made/recreation,outdoors/natural/other_unclear,outdoors/man-made/recreation,outdoors/man-made/other_unclear
189,group of women doing a presentation .,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/other_unclear
190,group of women doing a presentation off an easel .,indoors/man-made/work_education,outdoors/natural/other_unclear,indoors/man-made/work_education,indoors/man-made/work_education
191,kids play around a statue bust outside .,outdoors/man-made/transportation_urban,outdoors/man-made/recreation,outdoors/man-made/recreation,outdoors/man-made/recreation
192,little girl skis on slope .,outdoors/natural/mountain,outdoors/natural/mountain,outdoors/natural/mountain,outdoors/natural/mountain
193,little girl skis.,outdoors/natural/mountain,outdoors/natural/mountain,outdoors/natural/mountain,outdoors/natural/mountain
194,man with gray hair wearing a suit is waiting in a subway tunnel .,outdoors/man-made/other_unclear,outdoors/man-made/transportation_urban,indoors/man-made/transportation_urban,indoors/man-made/transportation_urban
195,man with gray hair wearing a suit is waiting.,outdoors/man-made/work_education,outdoors/natural/other_unclear,indoors/man-made/work_education,indoors/man-made/other_unclear
196,men playing volleyball,outdoors/man-made/recreation,outdoors/man-made/recreation,indoors/man-made/recreation,outdoors/man-made/recreation
197,men playing volleyball in the sand .,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water
198,muzzled greyhounds are racing on the track .,outdoors/man-made/recreation,outdoors/man-made/recreation,outdoors/man-made/recreation,outdoors/man-made/recreation
199,muzzled greyhounds are racing.,outdoors/man-made/recreation,outdoors/natural/field_forest,outdoors/man-made/recreation,outdoors/man-made/recreation
200,one dog is jumping at the lady while the other walks,outdoors/man-made/recreation,outdoors/natural/other_unclear,outdoors/man-made/recreation,outdoors/man-made/other_unclear
201,one dog is jumping at the lady while the other walks away .,outdoors/man-made/recreation,outdoors/natural/other_unclear,outdoors/man-made/recreation,outdoors/man-made/transportation_urban
202,people are rowing a boat .,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water
203,people are rowing a boat in the water .,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water
204,people examine books in a library .,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education
205,people examine books.,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education
206,people pass each other on a busy city street while talking on their cellphones .,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban
207,people pass each other while talking on their cellphones .,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban
208,person with two ski poles skiing down .,outdoors/natural/mountain,outdoors/natural/mountain,outdoors/natural/mountain,outdoors/natural/mountain
209,person with two ski poles skiing down a snowy hill .,outdoors/natural/mountain,outdoors/natural/mountain,outdoors/natural/mountain,outdoors/natural/mountain
210,several people sit,indoors/man-made/restaurant,outdoors/natural/other_unclear,indoors/man-made/work_education,indoors/man-made/other_unclear
211,stage dancers practicing their dance routines .,indoors/man-made/recreation,indoors/man-made/recreation,indoors/man-made/recreation,indoors/man-made/other_unclear
212,street vendors are selling fruits and vegetables in a stand and in large baskets on the ground .,outdoors/man-made/transportation_urban,outdoors/man-made/work_education,outdoors/man-made/transportation_urban,outdoors/man-made/work_education
213,the brown dog catches a ball in the air .,outdoors/man-made/recreation,outdoors/man-made/domestic,outdoors/man-made/domestic,outdoors/man-made/other_unclear
214,the little girl swings in the backyard .,outdoors/man-made/domestic,outdoors/man-made/domestic,outdoors/man-made/domestic,outdoors/man-made/recreation
215,the little girl swings.,outdoors/man-made/recreation,outdoors/man-made/domestic,outdoors/man-made/recreation,outdoors/man-made/other_unclear
216,the man in the red shirt and flowery tie is sitting on a bus by the window .,indoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,indoors/man-made/transportation_urban,indoors/man-made/transportation_urban
217,the man in the red shirt and flowery tie is sitting.,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/work_education,indoors/man-made/other_unclear
218,three children are playing .,outdoors/man-made/recreation,outdoors/natural/other_unclear,outdoors/man-made/domestic,outdoors/man-made/other_unclear
219,three children are practicing martial arts in a gym .,indoors/man-made/recreation,indoors/man-made/recreation,indoors/man-made/recreation,indoors/man-made/recreation
220,three children are practicing martial arts.,indoors/man-made/recreation,indoors/man-made/recreation,indoors/man-made/recreation,indoors/man-made/other_unclear
221,three girls or friends having drinks at a bar laughing .,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/restaurant
222,three girls or friends having drinks laughing .,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/other_unclear
223,three people in various stages of swimming strokes race,indoors/man-made/recreation,indoors/man-made/recreation,indoors/man-made/recreation,indoors/man-made/recreation
224,three people in various stages of swimming strokes race along colorful lane markers .,indoors/man-made/recreation,indoors/man-made/recreation,indoors/man-made/recreation,indoors/man-made/recreation
225,three women and a man are drinking beer .,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/restaurant
226,three women and a man are drinking beer at a table .,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/other_unclear
227,three women speak to each other in a room with tan walls .,indoors/man-made/work_education,indoors/man-made/domestic,indoors/man-made/work_education,indoors/man-made/other_unclear
228,three women speak to each other.,indoors/man-made/restaurant,outdoors/natural/other_unclear,indoors/man-made/work_education,indoors/man-made/other_unclear
229,three young women and one young man singing in an auditorium .,indoors/man-made/recreation,indoors/man-made/work_education,indoors/man-made/recreation,indoors/man-made/recreation
230,three young women and one young man singing.,indoors/man-made/recreation,indoors/man-made/other_unclear,indoors/man-made/recreation,indoors/man-made/other_unclear
231,two children swing from a swing made from a steel drum .,outdoors/man-made/recreation,outdoors/man-made/domestic,outdoors/man-made/recreation,outdoors/man-made/recreation
232,two children swing in dusty rooftop from a swing made from a steel drum .,outdoors/man-made/domestic,outdoors/man-made/domestic,indoors/man-made/recreation,outdoors/man-made/domestic
233,two dogs are catching blue frisbees in grass .,outdoors/natural/field_forest,outdoors/natural/field_forest,outdoors/natural/field_forest,outdoors/natural/field_forest
234,two dogs are catching blue frisbees.,outdoors/man-made/recreation,outdoors/natural/other_unclear,outdoors/natural/field_forest,outdoors/natural/other_unclear
235,two dogs are nose to nose while a third dog stands .,outdoors/man-made/recreation,outdoors/natural/other_unclear,outdoors/man-made/recreation,outdoors/man-made/other_unclear
236,two dogs are nose to nose while a third dog stands next to them .,outdoors/natural/field_forest,indoors/man-made/other_unclear,outdoors/man-made/recreation,outdoors/natural/other_unclear
237,two furry light brown dogs lying on a hardwood floor .,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/other_unclear
238,two furry light brown dogs lying.,indoors/man-made/domestic,outdoors/natural/other_unclear,indoors/man-made/domestic,indoors/man-made/other_unclear
239,two girls and three boys are presenting in front of a dry erase board .,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education
240,two girls and three boys are presenting.,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/other_unclear
241,two girls are in a race .,outdoors/man-made/recreation,outdoors/natural/field_forest,outdoors/man-made/recreation,outdoors/man-made/other_unclear
242,two girls are in a sack race .,outdoors/man-made/recreation,outdoors/natural/other_unclear,outdoors/man-made/recreation,outdoors/natural/field_forest
243,two guys are rowing a canoe on a lake .,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water
244,two guys are rowing a canoe.,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water,outdoors/natural/body_of_water
245,two men drink beer .,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/other_unclear
246,two men drink beer at the bar in a restaurant .,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/restaurant
247,two men on motorcycles are driving down .,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban
248,two men on motorcycles are driving down an empty street .,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban
249,two people are jumping on the side of a road with snow in the background .,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban
250,two people are jumping with snow .,outdoors/natural/field_forest,outdoors/natural/mountain,outdoors/natural/other_unclear,outdoors/natural/other_unclear
251,two people are sleeping .,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/domestic,indoors/man-made/other_unclear
252,two people on the subway are sleeping in the corner .,indoors/man-made/transportation_urban,indoors/man-made/transportation_urban,indoors/man-made/transportation_urban,indoors/man-made/transportation_urban
253,two rows of dance students are practicing ballet moves against a pole in a studio .,indoors/man-made/recreation,indoors/man-made/recreation,indoors/man-made/recreation,indoors/man-made/recreation
254,two rows of dance students are practicing ballet moves against a pole.,indoors/man-made/recreation,indoors/man-made/recreation,indoors/man-made/recreation,indoors/man-made/recreation
255,two swimmers race in a pool with a red line between them .,indoors/man-made/recreation,indoors/man-made/recreation,indoors/man-made/recreation,indoors/man-made/recreation
256,two swimmers race with a red line .,indoors/man-made/recreation,outdoors/man-made/recreation,indoors/man-made/recreation,indoors/man-made/recreation
257,two women in black enjoying a lunch in a restaurant .,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/restaurant
258,two women in black enjoying a lunch.,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/restaurant,indoors/man-made/other_unclear
259,two women in white lab coats examine a dyed area on a cluster of cells using a projector .,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education
260,two women in white lab coats examine a dyed area using a projector .,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education
261,two young people riding skateboards pass by in the street as a black dog on a red leash stops and squats down.,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban
262,two young people riding skateboards pass by in the street as a black dog on a red leash stops in a doorway and squats down on the sidewalk .,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban,outdoors/man-made/transportation_urban
263,vendors are selling fruits and vegetables,outdoors/man-made/transportation_urban,outdoors/man-made/work_education,outdoors/man-made/transportation_urban,outdoors/man-made/work_education
264,vendors sell products at a farmers market .,outdoors/man-made/transportation_urban,outdoors/man-made/work_education,outdoors/man-made/work_education,outdoors/man-made/work_education
265,vendors sell products.,indoors/man-made/transportation_urban,outdoors/man-made/work_education,indoors/man-made/work_education,indoors/man-made/work_education
266,white and black dog jumping over red-haired dog .,outdoors/man-made/recreation,outdoors/natural/other_unclear,indoors/man-made/domestic,indoors/man-made/other_unclear
267,white and black dog jumping over red-haired dog in grass .,outdoors/man-made/recreation,outdoors/natural/field_forest,outdoors/man-made/recreation,outdoors/natural/field_forest
