Sentence,Verb,Lemma,PropBank Role (n)
a young child in pink is pushing downed leaves as grass into a pile .,down-01,down,N/A
"woman in a green and white striped shit lying in a chair with a yellow bag , holding a folded piece of paper .",hold-01,hold,0
a female swimmer in a black bathing suit about to jump off the racing platform into a pool .,sail-01,sail,N/A
a female swimmer in a black bathing suit about to jump off the racing platform into a pool .,wear-01,wear,N/A
two swimmers race in a pool with a red line between them .,swim-01,swim,N/A
a man in a dirty hat and sweater works on a remodeling project .,work-01,work,N/A
a man in a dirty hat and sweater works on a remodeling project .,modernize-01,modernize,N/A
a man in a dirty hat and sweater works on a remodeling project .,wear-01,wear,N/A
"a man dressed in white overalls with a red cap , juggling a green ball and flaming torch , in front of a crowd of onlookers .",lobby-01,lobby,2
"a man dressed in white overalls with a red cap , juggling a green ball and flaming torch , in front of a crowd of onlookers .",look-01,look,2
"a man dressed in white overalls with a red cap , juggling a green ball and flaming torch , in front of a crowd of onlookers .",dress-01,dress,2
"a man dressed in white overalls with a red cap , juggling a green ball and flaming torch , in front of a crowd of onlookers .",flame-01,flame,2
a woman drinking an iced beverage through a straw in a dimly lit room .,drink-01,drink,N/A
"a man carrying a musical instrument and wearing a gray jacket , purple hat and purple scarf examines some money as he stands near a worn utility pole .",examine-01,examine,1
"a man carrying a musical instrument and wearing a gray jacket , purple hat and purple scarf examines some money as he stands near a worn utility pole .",carry-01,carry,1
"a man carrying a musical instrument and wearing a gray jacket , purple hat and purple scarf examines some money as he stands near a worn utility pole .",wear-01,wear,1
"a man carrying a musical instrument and wearing a gray jacket , purple hat and purple scarf examines some money as he stands near a worn utility pole .",wet-01,wet,1
a female harp player peers through the middle of her instrument while performing .,see-01,see,N/A
a female harp player peers through the middle of her instrument while performing .,perform-01,perform,N/A
a child in a black cape is being chased by other children .,chase-01,chase,N/A
a man sitting at a table wears a red sweater while two glasses of water rest on the table ; one glass is half empty .,contrast-01,contrast,2
a man sitting at a table wears a red sweater while two glasses of water rest on the table ; one glass is half empty .,wear-01,wear,2
a man sitting at a table wears a red sweater while two glasses of water rest on the table ; one glass is half empty .,sit-01,sit,2
a man is standing in a forest practicing a martial art .,stand-01,stand,2
a man is standing in a forest practicing a martial art .,practice-01,practice,2
"blond child with dirty face holding yellow bottle with red cap , plants in background .",hold-01,hold,0
a blond girl sits with her instrument looking off in the distance .,sit-01,sit,2
a blond girl sits with her instrument looking off in the distance .,look-01,look,2
two kids wakeboarding simultaneously decide to signal for a high-five .,decide-01,decide,N/A
"two soccer players , one from a team wearing red and the other wearing white , are both going for the soccer ball , while people on the bleachers watch .",contrast-01,contrast,N/A
"two soccer players , one from a team wearing red and the other wearing white , are both going for the soccer ball , while people on the bleachers watch .",play-01,play,N/A
"two soccer players , one from a team wearing red and the other wearing white , are both going for the soccer ball , while people on the bleachers watch .",wear-01,wear,N/A
"two soccer players , one from a team wearing red and the other wearing white , are both going for the soccer ball , while people on the bleachers watch .",watch-01,watch,N/A
"two men , one standing and one on a bicycle are talking outside a building .",talk-01,talk,2
"two men , one standing and one on a bicycle are talking outside a building .",stand-01,stand,2
"a person wearing a hat and carrying a knapsack walks uphill on a sand dune under a dark , cloudy sky and leaves the only visible footprints behind .",see-01,see,2
"a person wearing a hat and carrying a knapsack walks uphill on a sand dune under a dark , cloudy sky and leaves the only visible footprints behind .",walk-01,walk,2
"a person wearing a hat and carrying a knapsack walks uphill on a sand dune under a dark , cloudy sky and leaves the only visible footprints behind .",carry-01,carry,2
"a person wearing a hat and carrying a knapsack walks uphill on a sand dune under a dark , cloudy sky and leaves the only visible footprints behind .",wear-01,wear,2
"some children are playing on a trampoline , a boy in a red shirt is covering his face as he cries .",wear-01,wear,N/A
"some children are playing on a trampoline , a boy in a red shirt is covering his face as he cries .",play-01,play,N/A
four men and women in blue aprons strand in front of a table where there are many white plates and small blue bowls .,strand-01,strand,N/A
"young men and women sit at a wooden table on which several partially-drunk beverages have been placed ; the picture is interrupted by an outstretched hand , colored green in the odd light of the wood-paneled interior .",interrupt-01,interrupt,2
"young men and women sit at a wooden table on which several partially-drunk beverages have been placed ; the picture is interrupted by an outstretched hand , colored green in the odd light of the wood-paneled interior .",color-01,color,2
"young men and women sit at a wooden table on which several partially-drunk beverages have been placed ; the picture is interrupted by an outstretched hand , colored green in the odd light of the wood-paneled interior .",sit-01,sit,2
"young men and women sit at a wooden table on which several partially-drunk beverages have been placed ; the picture is interrupted by an outstretched hand , colored green in the odd light of the wood-paneled interior .",place-01,place,2
"young men and women sit at a wooden table on which several partially-drunk beverages have been placed ; the picture is interrupted by an outstretched hand , colored green in the odd light of the wood-paneled interior .",partial-01,partial,2
"a drayton manor theme park roller coaster is shown accelerating downwards vertically on a red colored track with several visible people making either happy , excited or scared faces .",show-01,show,N/A
"a drayton manor theme park roller coaster is shown accelerating downwards vertically on a red colored track with several visible people making either happy , excited or scared faces .",accelerate-01,accelerate,N/A
"a drayton manor theme park roller coaster is shown accelerating downwards vertically on a red colored track with several visible people making either happy , excited or scared faces .",color-01,color,N/A
"a drayton manor theme park roller coaster is shown accelerating downwards vertically on a red colored track with several visible people making either happy , excited or scared faces .",see-01,see,N/A
"a drayton manor theme park roller coaster is shown accelerating downwards vertically on a red colored track with several visible people making either happy , excited or scared faces .",scare-01,scare,N/A
"a drayton manor theme park roller coaster is shown accelerating downwards vertically on a red colored track with several visible people making either happy , excited or scared faces .",excite-01,excite,N/A
"a drayton manor theme park roller coaster is shown accelerating downwards vertically on a red colored track with several visible people making either happy , excited or scared faces .",happy-01,happy,N/A
"four men , two of them with guitars , perform on a stage while several people with their hands in the air watch .",contrast-01,contrast,N/A
"four men , two of them with guitars , perform on a stage while several people with their hands in the air watch .",watch-01,watch,N/A
"four men , two of them with guitars , perform on a stage while several people with their hands in the air watch .",perform-01,perform,N/A
a boy is standing on a sidewalk with his bike .,stand-01,stand,2
a scuba diver who has descended to the bottom of the ocean floor reaches out to pet a large sea turtle .,dive-01,dive,1
a scuba diver who has descended to the bottom of the ocean floor reaches out to pet a large sea turtle .,wander-01,wander,1
the dog is sitting on the side of the hill .,sit-01,sit,2
a man wearing dark clothing is talk to a young boy while they are walking down the sidewalk .,talk-01,talk,2
a man wearing dark clothing is talk to a young boy while they are walking down the sidewalk .,wear-01,wear,2
a man wearing dark clothing is talk to a young boy while they are walking down the sidewalk .,clothe-01,clothe,2
a man wearing dark clothing is talk to a young boy while they are walking down the sidewalk .,walk-01,walk,2
a man 's pants are falling down as he throws crates into a dumpster .,fall-01,fall,m
a man 's pants are falling down as he throws crates into a dumpster .,throw-01,throw,m
three street musicians wearing brown coats play the drums and trumpet in front of a store .,wear-01,wear,N/A
various vendors selling produce in an eastern outdoor market .,sell-01,sell,N/A
a woman in a red jacket stands on the beach facing the water as it covers her feet .,stand-01,stand,2
a woman in a red jacket stands on the beach facing the water as it covers her feet .,face-01,face,2
one man in a brown coat steadying a cart with two boxes of fruit while trying to retrieve a pear that fell on the bumpy pavement made of brick .,study-01,study,m
one man in a brown coat steadying a cart with two boxes of fruit while trying to retrieve a pear that fell on the bumpy pavement made of brick .,try-01,try,m
one man in a brown coat steadying a cart with two boxes of fruit while trying to retrieve a pear that fell on the bumpy pavement made of brick .,retrieve-01,retrieve,m
one man in a brown coat steadying a cart with two boxes of fruit while trying to retrieve a pear that fell on the bumpy pavement made of brick .,fall-01,fall,m
one man in a brown coat steadying a cart with two boxes of fruit while trying to retrieve a pear that fell on the bumpy pavement made of brick .,make-01,make,m
one man in a brown coat steadying a cart with two boxes of fruit while trying to retrieve a pear that fell on the bumpy pavement made of brick .,wear-01,wear,m
a female street vendor is standing inside her kiosks which appears to sell a variety of foreign and handmade snacks .,stand-01,stand,2
a female street vendor is standing inside her kiosks which appears to sell a variety of foreign and handmade snacks .,sell-01,sell,2
a female street vendor is standing inside her kiosks which appears to sell a variety of foreign and handmade snacks .,make-01,make,2
"a man running in a marathon runs past <number> bagpipe players , and a drummer , all wearing a uniform",play-01,play,N/A
"a man running in a marathon runs past <number> bagpipe players , and a drummer , all wearing a uniform",wear-01,wear,N/A
"man in boat wearing athletic shorts , a backwards baseball cap and sunglasses unhooks a fish he has caught while fishing .",knock-01,knock,N/A
"man in boat wearing athletic shorts , a backwards baseball cap and sunglasses unhooks a fish he has caught while fishing .",fish-01,fish,N/A
"man in boat wearing athletic shorts , a backwards baseball cap and sunglasses unhooks a fish he has caught while fishing .",wear-01,wear,N/A
a man in a green tank top wearing a rabbits foot around his neck sits on a small sofa with the window open revealing a man in a white shirt on the other side of the window .,reveal-01,reveal,2
a man in a green tank top wearing a rabbits foot around his neck sits on a small sofa with the window open revealing a man in a white shirt on the other side of the window .,wear-01,wear,2
a man in a green tank top wearing a rabbits foot around his neck sits on a small sofa with the window open revealing a man in a white shirt on the other side of the window .,sit-01,sit,2
a man in a green tank top wearing a rabbits foot around his neck sits on a small sofa with the window open revealing a man in a white shirt on the other side of the window .,wear-01,wear,2
one dog climbing on the back of another dog in the snow .,climb-01,climb,N/A
man playing musical instrument standing beside a yellow and red fire hydrant,stand-01,stand,2
man playing musical instrument standing beside a yellow and red fire hydrant,play-01,play,2
"a woman in a black shirt , jean shorts and white tennis shoes is bowling .",bowl-01,bowl,N/A
"a woman in a black shirt , jean shorts and white tennis shoes is bowling .",wear-01,wear,N/A
an old man holding a camera while walking a small brown dog .,contrast-01,contrast,2
an old man holding a camera while walking a small brown dog .,walk-01,walk,2
an old man holding a camera while walking a small brown dog .,hold-01,hold,2
a person sitting on a ledge with a letter in their hands .,sit-01,sit,2
a middle-aged gentleman is sitting in a small booth with a table full of different types and sizes of fish .,sit-01,sit,2
a middle-aged gentleman is sitting in a small booth with a table full of different types and sizes of fish .,fill-01,fill,2
three workers in fluorescent orange clothing cleaning the subway tracks .,clean-01,clean,N/A
three workers in fluorescent orange clothing cleaning the subway tracks .,clothe-01,clothe,N/A
three workers in fluorescent orange clothing cleaning the subway tracks .,work-01,work,N/A
a man in a camouflage shirt mows a small yard while another man and woman who are also performing yard work look on .,contrast-01,contrast,2
a man in a camouflage shirt mows a small yard while another man and woman who are also performing yard work look on .,look-01,look,2
a man in a camouflage shirt mows a small yard while another man and woman who are also performing yard work look on .,work-01,work,2
a man in a camouflage shirt mows a small yard while another man and woman who are also performing yard work look on .,load-01,load,2
a girl in a flowered dress peaking through some leaves .,walk-01,walk,2
a half-dressed man walks into a river at the bottom of a small waterfall .,walk-01,walk,2
a half-dressed man walks into a river at the bottom of a small waterfall .,dress-01,dress,2
a young child is throwing a big rock into a body of water .,throw-01,throw,N/A
two law enforcement men wear white cowboy hats while riding in a cart past a red car .,wear-01,wear,N/A
two law enforcement men wear white cowboy hats while riding in a cart past a red car .,ride-01,ride,N/A
two law enforcement men wear white cowboy hats while riding in a cart past a red car .,enforce-01,enforce,N/A
the blond boy wearing a striped shirt is walking through the grass .,walk-01,walk,2
the blond boy wearing a striped shirt is walking through the grass .,wear-01,wear,2
a man in a blue shirt is walking and talking on the phone .,talk-01,talk,2
a man in a blue shirt is walking and talking on the phone .,walk-01,walk,2
"<number> men , one in orange raincoat and hard hat and holding a yellow pole , other man in jeans and t-shirt , both looking at caution cone .",look-01,look,2
"<number> men , one in orange raincoat and hard hat and holding a yellow pole , other man in jeans and t-shirt , both looking at caution cone .",wear-01,wear,2
"<number> men , one in orange raincoat and hard hat and holding a yellow pole , other man in jeans and t-shirt , both looking at caution cone .",hold-01,hold,2
"<number> men , one in orange raincoat and hard hat and holding a yellow pole , other man in jeans and t-shirt , both looking at caution cone .",wear-01,wear,2
a man wearing jeans and a button up dress shirt is holding a camera while standing next to a woman in black pants and a beige jacket .,hold-01,hold,0
a man wearing jeans and a button up dress shirt is holding a camera while standing next to a woman in black pants and a beige jacket .,stand-01,stand,0
a man wearing jeans and a button up dress shirt is holding a camera while standing next to a woman in black pants and a beige jacket .,wear-01,wear,0
a man wearing jeans and a button up dress shirt is holding a camera while standing next to a woman in black pants and a beige jacket .,wear-01,wear,0
a climber is attempting to climb around an overhang above the woods .,attempt-01,attempt,N/A
a climber is attempting to climb around an overhang above the woods .,climb-01,climb,N/A
a climber is attempting to climb around an overhang above the woods .,climb-01,climb,N/A
a young boy wearing a name tag is running on a soccer field .,wear-01,wear,N/A
"a man wearing blue jeans , blue shirt and a cap runs in front of a large truck on a street .",wear-01,wear,N/A
"a group of people are sitting and standing holding a banner that stays , "" we are demanding . """,hold-01,hold,0
"a group of people are sitting and standing holding a banner that stays , "" we are demanding . """,stay-01,stay,0
"a group of people are sitting and standing holding a banner that stays , "" we are demanding . """,demand-01,demand,0
"a group of people are sitting and standing holding a banner that stays , "" we are demanding . """,stand-01,stand,0
"a group of people are sitting and standing holding a banner that stays , "" we are demanding . """,sit-01,sit,0
"so many people came out with their sweatshirts , blankets and hats that very cold november night .",cold-01,cold,N/A
"three different people , all wearing light colored tops and dark pants , are taking pictures with their cameras .",photograph-01,photograph,N/A
"three different people , all wearing light colored tops and dark pants , are taking pictures with their cameras .",wear-01,wear,N/A
a cooking event where young kids are cooking with eggs and brightly colored ingredients while people are watching .,cook-01,cook,N/A
a cooking event where young kids are cooking with eggs and brightly colored ingredients while people are watching .,watch-01,watch,N/A
a cooking event where young kids are cooking with eggs and brightly colored ingredients while people are watching .,cook-01,cook,N/A
there is a little girl in pink being helped by three different adults as she makes something from dough and red dye .,help-01,help,N/A
there is a little girl in pink being helped by three different adults as she makes something from dough and red dye .,make-01,make,N/A
two people walking into a shadow in one direction while another walks in the midst of it .,contrast-01,contrast,2
two people walking into a shadow in one direction while another walks in the midst of it .,walk-01,walk,2
two people walking into a shadow in one direction while another walks in the midst of it .,walk-01,walk,2
a mother and her two sons walk behind a horse tied to a boat .,walk-01,walk,2
a mother and her two sons walk behind a horse tied to a boat .,tie-01,tie,2
"one man sits inside and plays the banjo , there are trees behind him outside .",sit-01,sit,2
"a man is sitting on a chair with a jacket hung over the back , next to a tuba , with sheet music in front of him .",sit-01,sit,2
"a man is sitting on a chair with a jacket hung over the back , next to a tuba , with sheet music in front of him .",hang-01,hang,2
a group of four young men and one young woman holding spray paint cans and smiling next to their artwork .,smile-01,smile,0
a group of four young men and one young woman holding spray paint cans and smiling next to their artwork .,hold-01,hold,0
a group of four young men and one young woman holding spray paint cans and smiling next to their artwork .,spray-01,spray,0
an old man with a blue shirt is looking askance with people behind him .,look-01,look,2
an old man with a blue shirt is looking askance with people behind him .,ask-01,ask,2
"three children , two girls and one boy , in martial art stances , standing on the hard-wood floor of a large room .",stand-01,stand,2
woman holding a drink with a white bag next to her is sitting on a green sculpture .,sit-01,sit,2
a little boy in a red shirt is making a face into the camera while waiting at a go-cart track .,make-01,make,2
a little boy in a red shirt is making a face into the camera while waiting at a go-cart track .,wait-01,wait,2
a little boy in a red shirt is making a face into the camera while waiting at a go-cart track .,wear-01,wear,2
a little boy in a red shirt is making a face into the camera while waiting at a go-cart track .,go-01,go,2
an older gentleman dressed completely in white is eating from a white bowl while sitting in a large overstuffed chair .,eat-01,eat,2
an older gentleman dressed completely in white is eating from a white bowl while sitting in a large overstuffed chair .,sit-01,sit,2
an older gentleman dressed completely in white is eating from a white bowl while sitting in a large overstuffed chair .,dress-01,dress,2
spectators watch as a stunt plane with colored smoke trails flies over the beach,watch-01,watch,N/A
spectators watch as a stunt plane with colored smoke trails flies over the beach,fly-01,fly,N/A
spectators watch as a stunt plane with colored smoke trails flies over the beach,color-01,color,N/A
spectators watch as a stunt plane with colored smoke trails flies over the beach,smoke-01,smoke,N/A
two girls appear to be playing a very competitive chess game with each other .,play-01,play,N/A
two girls appear to be playing a very competitive chess game with each other .,compete-01,compete,N/A
"a city sidewalk scene consisting of two men with dreadlocks sitting on the ground , a punk rocker holding books , a woman with a camera walking away , and a man wearing a long coat , scarf , hat , and sunglasses looking away from the picture .",look-01,look,2
"a city sidewalk scene consisting of two men with dreadlocks sitting on the ground , a punk rocker holding books , a woman with a camera walking away , and a man wearing a long coat , scarf , hat , and sunglasses looking away from the picture .",wear-01,wear,2
"a city sidewalk scene consisting of two men with dreadlocks sitting on the ground , a punk rocker holding books , a woman with a camera walking away , and a man wearing a long coat , scarf , hat , and sunglasses looking away from the picture .",walk-01,walk,2
"a city sidewalk scene consisting of two men with dreadlocks sitting on the ground , a punk rocker holding books , a woman with a camera walking away , and a man wearing a long coat , scarf , hat , and sunglasses looking away from the picture .",hold-01,hold,2
"a city sidewalk scene consisting of two men with dreadlocks sitting on the ground , a punk rocker holding books , a woman with a camera walking away , and a man wearing a long coat , scarf , hat , and sunglasses looking away from the picture .",sit-01,sit,2
"a large group of people look as if they are in a band , and they are practicing classical music with guitars , violins , and cellos .",practice-01,practice,N/A
"a large group of people look as if they are in a band , and they are practicing classical music with guitars , violins , and cellos .",resemble-01,resemble,N/A
"young girl in pink and green bikini , swimming with a rubber ring .",swim-01,swim,N/A
several people listening to information in a conference or town hall .,listen-01,listen,N/A
a child 's palm is up against the palm of a crash test dummy .,test-01,test,1
a child 's palm is up against the palm of a crash test dummy .,crash-01,crash,1
the boy in the blue shirt is eating chips while his mother looks over the menu .,eat-01,eat,2
the boy in the blue shirt is eating chips while his mother looks over the menu .,look-01,look,2
two guys one in red and the other in black sitting at computers,sit-01,sit,2
two dogs are shaking off water while playing with a ball on the edge of a body of water .,play-01,play,N/A
five workers sitting on the side of a road eating lunch .,sit-01,sit,2
five workers sitting on the side of a road eating lunch .,work-01,work,2
five workers sitting on the side of a road eating lunch .,eat-01,eat,2
"many people are sitting outside the leaning tower of piza , one girl dressed in green is facing the camera and eating a sandwich .",eat-01,eat,2
"many people are sitting outside the leaning tower of piza , one girl dressed in green is facing the camera and eating a sandwich .",face-01,face,2
"many people are sitting outside the leaning tower of piza , one girl dressed in green is facing the camera and eating a sandwich .",dress-01,dress,2
"many people are sitting outside the leaning tower of piza , one girl dressed in green is facing the camera and eating a sandwich .",sit-01,sit,2
"many people are sitting outside the leaning tower of piza , one girl dressed in green is facing the camera and eating a sandwich .",lean-01,lean,2
a man is showing a peace sign as he plays a game in a crowded room at a casino .,show-01,show,N/A
a man is showing a peace sign as he plays a game in a crowded room at a casino .,play-01,play,N/A
a man is showing a peace sign as he plays a game in a crowded room at a casino .,crowd-01,crowd,N/A
two people in chef 's garb doing a demonstration at a kitchenaid booth .,demonstrate-01,demonstrate,N/A
two people in chef 's garb doing a demonstration at a kitchenaid booth .,wear-01,wear,N/A
the boy in the blue shirt is swinging a baseball bat towards a ball as the boy in the red helmet waits to catch him out .,spew-01,spew,2
the boy in the blue shirt is swinging a baseball bat towards a ball as the boy in the red helmet waits to catch him out .,wait-01,wait,2
a lady with short hair wearing a black jacket leaned against a lamp post outside a building .,lean-01,lean,2
a lady with short hair wearing a black jacket leaned against a lamp post outside a building .,wear-01,wear,2
a man wearing a green shirt with white stripes is playing the drums,wear-01,wear,N/A
a man in a colorful shirt and a lady in a white blouse sign copies of books for people .,sign-01,sign,2
a man in a colorful shirt and a lady in a white blouse sign copies of books for people .,wear-01,wear,2
a man in a colorful shirt and a lady in a white blouse sign copies of books for people .,copy-01,copy,2
a crew of chefs dressed in white proudly display an array of pastries .,display-01,display,2
a crew of chefs dressed in white proudly display an array of pastries .,pride-01,pride,2
a crew of chefs dressed in white proudly display an array of pastries .,dress-01,dress,2
red white and blue suv patrolling the beach and shoreline on a cloudy day while seagulls walk in the sand .,patrol-01,patrol,1
red white and blue suv patrolling the beach and shoreline on a cloudy day while seagulls walk in the sand .,walk-01,walk,1
two kids with helmets on sitting outside while one looks down and the other straight ahead .,contrast-01,contrast,2
two kids with helmets on sitting outside while one looks down and the other straight ahead .,sit-01,sit,2
two kids with helmets on sitting outside while one looks down and the other straight ahead .,look-01,look,2
two kids with helmets on sitting outside while one looks down and the other straight ahead .,look-01,look,2
a vendor in all pink and red clothing is preparing her wears while looking forward .,look-01,look,2
a vendor in all pink and red clothing is preparing her wears while looking forward .,wear-01,wear,2
a vendor in all pink and red clothing is preparing her wears while looking forward .,wear-01,wear,2
a man enjoys a peaceful solitary moment while camping .,enjoy-01,enjoy,N/A
a small girl dressed in yellow wearing flip-flops climbing onto red playground equipment .,climb-01,climb,N/A
a small girl dressed in yellow wearing flip-flops climbing onto red playground equipment .,dress-01,dress,N/A
a small girl dressed in yellow wearing flip-flops climbing onto red playground equipment .,wear-01,wear,N/A
children eating at a outdoor cafe & someone does n't like the menu .,dislike-01,dislike,N/A
children eating at a outdoor cafe & someone does n't like the menu .,eat-01,eat,N/A
a man with a white shirt and rubber boots is climbing on tanks in order to retrieve items from a specific tank .,climb-01,climb,N/A
a man with a white shirt and rubber boots is climbing on tanks in order to retrieve items from a specific tank .,retrieve-01,retrieve,N/A
a dark-haired man is speaking into a microphone while another man is sitting beside him .,contrast-01,contrast,2
a dark-haired man is speaking into a microphone while another man is sitting beside him .,sit-01,sit,2
a dark-haired man is speaking into a microphone while another man is sitting beside him .,pair-01,pair,2
a dark-haired man is speaking into a microphone while another man is sitting beside him .,speak-01,speak,2
a man in a suit and dirty dress-shoes is lying on the street on pieces of cardboard with his eyes closed .,close-01,close,N/A
a man in a suit and dirty dress-shoes is lying on the street on pieces of cardboard with his eyes closed .,dress-01,dress,N/A
two people standing on top of a rock in the middle of snow and cloud .,stand-01,stand,2
a bald man with a tattooed head stands next to a man with a brown t-shirt in front of a transparent awning .,stand-01,stand,2
"two female beach volleyball players , facing each other , prepare to strike the ball .",strike-01,strike,N/A
"two female beach volleyball players , facing each other , prepare to strike the ball .",face-01,face,N/A
"two female beach volleyball players , facing each other , prepare to strike the ball .",play-01,play,N/A
a woman wearing a blue shirt and high heels stands on the sidewalk next to a man .,stand-01,stand,2
a woman wearing a blue shirt and high heels stands on the sidewalk next to a man .,wear-01,wear,2
a blond man plays guitar with one other player barely visible out of frame .,play-01,play,N/A
a blond man plays guitar with one other player barely visible out of frame .,play-01,play,N/A
a blond man plays guitar with one other player barely visible out of frame .,see-01,see,N/A
"people are seated and standing in front of a green roofed coffee vendor , as a large group walk down a sidewalk .",walk-01,walk,2
"people are seated and standing in front of a green roofed coffee vendor , as a large group walk down a sidewalk .",stand-01,stand,2
"people are seated and standing in front of a green roofed coffee vendor , as a large group walk down a sidewalk .",seat-01,seat,2
"people are seated and standing in front of a green roofed coffee vendor , as a large group walk down a sidewalk .",roof-01,roof,2
a small child in a red jacket is sitting on a man 's shoulders and holding his head .,hold-01,hold,0
a small child in a red jacket is sitting on a man 's shoulders and holding his head .,wear-01,wear,0
a small child in a red jacket is sitting on a man 's shoulders and holding his head .,sit-01,sit,0
"in a room with clothes strewn on the bed , a man appears to be falling onto the bed from a high distance .",fall-01,fall,m
a man with helmet and backpack standing on dirt bike in a hilly grassy area .,stand-01,stand,2
a black and white dog jomps over another black and white dog to catch a cloth frisbee .,catch-01,catch,N/A
a man in a white shirt and helmet is using climbing equipment .,use-01,use,N/A
a man in a white shirt and helmet is using climbing equipment .,climb-01,climb,N/A
a climber is standing on the rock face next to the pink rope .,stand-01,stand,2
a climber is standing on the rock face next to the pink rope .,climb-01,climb,2
a boy is smiling whilst standing in front of a swimming pool .,smile-01,smile,2
a boy is smiling whilst standing in front of a swimming pool .,stand-01,stand,2
a boy is smiling whilst standing in front of a swimming pool .,swim-01,swim,2
a tri-colored dog jumps and catches a pink frisbeen that a man in shorts has thrown .,catch-01,catch,N/A
a tri-colored dog jumps and catches a pink frisbeen that a man in shorts has thrown .,throw-01,throw,N/A
a tri-colored dog jumps and catches a pink frisbeen that a man in shorts has thrown .,color-01,color,N/A
a gray mottled dog stands on the sloping trunk of a tree overlooking a grassy field .,stand-01,stand,2
a gray mottled dog stands on the sloping trunk of a tree overlooking a grassy field .,overlook-01,overlook,2
a female in blue jeans and white high heels is walking down the street .,walk-01,walk,2
a female in blue jeans and white high heels is walking down the street .,wear-01,wear,2
"two workers are on a cherry-picker , one leaning out with a safety harness and the other smiling at the camera .",smile-01,smile,2
"two workers are on a cherry-picker , one leaning out with a safety harness and the other smiling at the camera .",lean-01,lean,2
"two workers are on a cherry-picker , one leaning out with a safety harness and the other smiling at the camera .",safe-01,safe,2
"two workers are on a cherry-picker , one leaning out with a safety harness and the other smiling at the camera .",work-01,work,2
people pass each other on a busy city street while talking on their cellphones .,talk-01,talk,N/A
people pass each other on a busy city street while talking on their cellphones .,busy-01,busy,N/A
a boy sits in a toy car while drinking from his sippy cup .,sit-01,sit,2
a boy sits in a toy car while drinking from his sippy cup .,drink-01,drink,2
a man dressed in a white shirt and black vest is playing an electric guitar .,dress-01,dress,N/A
wedding photo of the bride and groom jumping for joy on the great wall of china .,photograph-01,photograph,N/A
wedding photo of the bride and groom jumping for joy on the great wall of china .,wed-01,wed,N/A
a man in a beige shirt and white hat stands looking at the bottom of a brown staircase which is decorated with colorful images of animals and designs .,stand-01,stand,2
a man in a beige shirt and white hat stands looking at the bottom of a brown staircase which is decorated with colorful images of animals and designs .,look-01,look,2
the kayaker braces himself as he goes down the river .,accelerate-01,accelerate,N/A
the kayaker braces himself as he goes down the river .,swim-01,swim,N/A
a guy smoking a cigarette while looking over fossils and possibly bones that were found .,smoke-01,smoke,2
a guy smoking a cigarette while looking over fossils and possibly bones that were found .,look-01,look,2
a guy smoking a cigarette while looking over fossils and possibly bones that were found .,possible-01,possible,2
a guy smoking a cigarette while looking over fossils and possibly bones that were found .,find-01,find,2
a man in a gray shirt and gray pants is sleeping outside in a wooden chair .,sleep-01,sleep,N/A
a man in a gray shirt and gray pants is sleeping outside in a wooden chair .,wear-01,wear,N/A
a sleeping baby is being pushed in a stroller on a walkway next to a large body of water .,push-01,push,N/A
a sleeping baby is being pushed in a stroller on a walkway next to a large body of water .,sleep-01,sleep,N/A
the man in the button up shirt is sitting at a table .,sit-01,sit,2
the man in the button up shirt is sitting at a table .,wear-01,wear,2
"a young boy is looking at a checkers board with one fist leaning against his head as a partially visible adult sits across the table from him , in a room full of people sitting in chairs around tables .",contrast-01,contrast,2
"a young boy is looking at a checkers board with one fist leaning against his head as a partially visible adult sits across the table from him , in a room full of people sitting in chairs around tables .",sit-01,sit,2
"a young boy is looking at a checkers board with one fist leaning against his head as a partially visible adult sits across the table from him , in a room full of people sitting in chairs around tables .",see-01,see,2
"a young boy is looking at a checkers board with one fist leaning against his head as a partially visible adult sits across the table from him , in a room full of people sitting in chairs around tables .",look-01,look,2
"a young boy is looking at a checkers board with one fist leaning against his head as a partially visible adult sits across the table from him , in a room full of people sitting in chairs around tables .",lean-01,lean,2
two parents sit on a couch while a girl in a pink sweater lounges across them .,contrast-01,contrast,2
two parents sit on a couch while a girl in a pink sweater lounges across them .,neighbor-01,neighbor,2
two parents sit on a couch while a girl in a pink sweater lounges across them .,wear-01,wear,2
two parents sit on a couch while a girl in a pink sweater lounges across them .,sit-01,sit,2
a man or older boy is standing up in a blue and white speedboat that 's parked in a driveway .,park-01,park,N/A
the black dog emerges from the water having collected an object in his teeth .,emerge-01,emerge,N/A
the black dog emerges from the water having collected an object in his teeth .,collect-01,collect,N/A
a kayaker is battling waves in a purple boat while wearing rain gear .,battle-01,battle,N/A
a kayaker is battling waves in a purple boat while wearing rain gear .,wear-01,wear,N/A
a kayaker is battling waves in a purple boat while wearing rain gear .,swim-01,swim,N/A
a kayaker is battling waves in a purple boat while wearing rain gear .,rain-01,rain,N/A
two little girls in pink outfits play on a yellow and red playground .,play-01,play,N/A
"a downhill skier with a backpack , on a background of mountains and wispy clouds .",ski-01,ski,1
a small child in a blue shirt is standing in front of a group of tires .,stand-01,stand,2
a small child in a blue shirt is standing in front of a group of tires .,wear-01,wear,2
the two boys in bright blue jeans stand at the water fountain .,stand-01,stand,2
the two boys in bright blue jeans stand at the water fountain .,wear-01,wear,2
people going under a gazebo as the walk to the beach one is holding a surfboard .,hold-01,hold,0
