Original Sentence,Processed Sentence
"a woman with a ponytail wearing a peach shirt , white khaki pants , and black sandals sits outside a store on a wicker bench as she writes on a notebook .",skip_because_no_change
a girl wearing sandals is writing in a notebook while sitting in a chair outside .,The girl in sandals wrote in a notebook while she sat.
"a woman is writing in a journal , while sitting on a bench at a coffee shop .",The woman wrote in a journal while sitting.
a woman writes in a notebook while sitting on a wicker seat .,The woman wrote in a notebook while sitting.
a woman is sitting outside writing in a notebook .,A woman writing in a notebook sat down.
a man in a dark jacket sits at a table with a blue tablecloth smiling at a woman in a green shirt with a black zipper vest .,skip_because_no_change
a man in a hat and a woman in a green shirt and blue vest sit at a restaurant table reading the menu .,skip_because_no_change
a man and women are out at farmosa looking at menus as they chat .,The men and women looked at the menu while they chatted.
a man in a baseball hat is talking to a woman at a restaurant,The man in a baseball hat talks to the woman.
two people sitting at a table in a restaurant .,Two people sat down.
a man wearing shorts and a blue t-shirt is applying signage to the display window of an ice cream shop .,skip_because_no_change
man on sidewalk uses step ladder to apply sticker to storefront window,The man used a step ladder to apply stickers to the storefront windows.
guy with blue shirt and jean shorts putting blue paper on a window .,skip_because_no_change
a man standing outside of a shop on the street .,The man stood.
guy wearing a cap watching through glass window,skip_because_no_change
two dogs are fighting over a toy and another dog is chasing them .,skip_because_no_change
three dogs are playing with a yellow ball in a grassy field .,Three dogs playing with yellow balls.
a small dog watches two big dogs playing rough in a field .,The small dog watched the two big dogs play rough.
two dogs play together and another runs after in a field .,"Two dogs were playing together, and another ran after."
three dogs play together in the field .,Three dogs playing together.
a person climbing a rock while others are standing around and watching .,People climbed rocks while others stood and watched.
a man climber a large rock without any gear while his friends watch,skip_because_no_change
a rock climber hangs from a ledge while others look on .,skip_because_no_change
a person hangs off a large rock as other people watch .,People were hanged while others watched.
man dangling from rock as spectators watch,skip_because_no_change
a group of football players wearing orange and blue uniforms gather together on the field .,skip_because_no_change
football players in blue and orange uniforms are huddled together and hugging each other .,skip_because_no_change
the men in the gators helmets have their arms wrapped around each other .,skip_because_no_change
a group of football players huddled together in the middle of the field .,A group of football players huddled together.
football players in uniform embrace one another .,skip_because_no_change
a couple outside in the rain at a stockcar race that he is racing in .,couple.
a man is sitting in a race car near a woman with an umbrella .,The man was sitting near the woman with an umbrella.
a blond woman holds an umbrella over a race car driver .,skip_because_no_change
a woman holding an umbrella over a person in a race car .,a woman holding an umbrella over people.
lady holding umbrella over race car driver .,skip_because_no_change
group of women in red swimsuits perform a dance routine in the sand at <number> beijing olympics .,A group of women in red swimsuits performed a dance routine.
women in red bathing suits and hats are dancing in the sand at the beijing <number> olympics .,Women in red bathing suits and hats danced.
twelve women in red bikinis on a sandy area at the beijing <number> olympics .,12 women in red bikinis
women in red outfits perform a cheer at the beijing <number> olympics .,A woman in a red outfit performed cheers.
girls in red bikinis do a dance routine at the <number> olympics .,A girl in a red bikini performs a dance routine.
"a police officer in a white hat , yellow vest , and blue pants is standing in an intersection while several red and yellow firetrucks line the street on each side .",skip_because_no_change
a crowd gathers on a city street where a large number of emergency fire vehicles have responded .,Crowds gathered.
"<number> firetrucks line the street , ready for potential problems .",skip_because_no_change
firetrucks line both sides of a busy two-way road .,skip_because_no_change
a fire in a office building disrupting the day .,The fire disrupted the day.
a group of people sit near a large red brick building in the grass .,A group of people sat down.
a red building with people sitting outside on the lawn in front .,It's a red building where people sit.
it looks like a school with children sitting outside of it .,It looks like a school where children sit.
some students sit outside school buildings in the grass .,Some students are sitting.
people sitting in a circle outside a large building .,People sat in circles.
child with swim goggles with face submerged halfway,skip_because_no_change
a child in colorful goggles plays in a pool .,Children in colorful goggles playing.
a child is in a pool wearing shark goggles .,Children are wearing shark goggles.
a young girl swimming in green goggles,skip_because_no_change
a girl with goggles on in a pool,a girl in goggles
a black and brown dog jumps in the air to catch a soccer ball .,skip_because_no_change
the black and brown dog jumps in the air to catch the ball .,skip_because_no_change
a black dog jumps to catch a ball in a yard .,The black dog jumped to catch the ball.
dog jumping to catch a soccer ball .,skip_because_no_change
black dog jumps for white ball .,skip_because_no_change
<number> men in work jumpsuits and <number> man in an orange jumpsuit are walking next to green and red loading docks .,A number of men in work jumpsuits and orange onesies walked.
six men in blue jumpsuits and a man in an orange jumpsuit walk by a shipyard .,Six men in blue jumpsuits and an orange one walked.
a group of men in jumpsuits walk along the dock of the bumi jaya .,A group of men in jumpsuits walked.
<number> men dressed in blue and one man dressed in orange walking .,skip_because_no_change
seven workers walking near a cargo ship .,7 workers walk.
a man with a bucket of red paint is labeling fish sections with numbers .,skip_because_no_change
a man is using red paint to number dead fish lined up on the floor .,skip_because_no_change
a man is painting while other people are doing their work .,skip_because_no_change
grading and pricing fish in an open air fish market .,The fish is graded and priced.
a man numbers items with red paint .,skip_because_no_change
a man in a brown jacket and beige cap is drinking from a styrofoam cup .,skip_because_no_change
a man wearing a coat is leaned against wall drinking from a white cup .,Leaning on a man in a coat drinking a white cup.
a man in a jacket and cap is crouching down and drinking from a cup .,skip_because_no_change
a man is crouched down next to a building sipping a drink .,"The man crouching down, sipping a drink."
a man in a leather jacket drinking coffee .,skip_because_no_change
a man in a white shirt and shorts is running and jumping in the grass .,skip_because_no_change
"a man in a blue shirt , jumping down a hill in a park .",A man in blue shirt jumping down.
a guy jumping downhill took a still shot of it .,skip_because_no_change
a man jumping down a hill in a forested park .,The man jumped down the hill.
a man is jumping it a meadow,skip_because_no_change
a black and white dog jumps over a red and white pole while a boy in a green shirt watches .,skip_because_no_change
a black and white dog jumping over a red and white bar .,skip_because_no_change
a dog jumping over a pole with a boy in the background,A dog that jumped over a pole with the boy.
dog jumps over red and white pole while boy looks on,skip_because_no_change
a dog is jumping over a red and white bar .,skip_because_no_change
"the two dogs , one of which is leaping in the air , are chasing a ball outdoors .",skip_because_no_change
one dog leaps to catch a softball while another looks on .,skip_because_no_change
two small dogs pursuing a ball across a grassy field .,skip_because_no_change
two dogs play catch with a ball in a field .,Two dogs were playing catch a ball.
two dogs jump for a ball on a green field .,Two dogs jumped for the ball.
guy in white trying to score in soccer while being blocked by two guys in orange and black,skip_because_no_change
a soccer player in a white shirt moves to run past a player from the opposite team .,skip_because_no_change
number <number> has the soccer ball going around number <number> in a red jersey .,skip_because_no_change
the soccer player in red is trying to block the player in white .,skip_because_no_change
three boys playing soccer .,skip_because_no_change
"a woman in red , white , and black equestrian gear standing next to an older man in matching gear who is sitting on a brown horse on a dirt track .","A woman stood in red, white and black equestrian gear."
two equestrians in and arena in riding uniforms with one leading a beautiful show horse and he other riding .,The two equestrians were wearing riding uniforms and one of them led a beautiful show horse and the other was riding.
"a man dressed in a red coat , white pants , and black boots is sitting on a horse at an amusement park .",skip_because_no_change
two people dressed in red and white wait at the horse track with a horse .,skip_because_no_change
people are posing for fans at the horse hurdle jumping games,People posing with fans.
a butcher wearing glasses and a blue apron prepares strips of meat .,skip_because_no_change
a man is cleaning sea food with a sharp object .,skip_because_no_change
a man prepares some fish in a navy blue apron .,skip_because_no_change
a man is butchering some fish .,skip_because_no_change
a man is cutting a fish .,skip_because_no_change
a black man is wearing sunglasses and a blue shirt with a white undershirt .,skip_because_no_change
the man wearing a blue shirt has dreadlocks and sunglasses .,skip_because_no_change
dark-skinned man with sunglasses in a blue shirt,skip_because_no_change
a man with dreeds wearing large black sunglasses,skip_because_no_change
a man in sunglasses smiles .,skip_because_no_change
a white dog jumps above a red frisbee that is rolling along the surface of a low cut field .,skip_because_no_change
a white dog wearing a red collar jumps up after a red frisbee .,skip_because_no_change
a white dog is running towards the red frisbee on the grass .,The white dog ran to the red frisbee.
the dog jumps in the air running after the frisbee .,skip_because_no_change
a tan and white dog jumping after a red frisbee .,skip_because_no_change
a group of young people pose for a group photo while a man does a bike jump .,skip_because_no_change
people cheer as a bicyclist rides his bike off a ramp,skip_because_no_change
a person jumping off a ramp on a bike over a crowd .,skip_because_no_change
people cheer as a man rides a bmx bike in midair,People cheered as the man rode a Bmx bike.
a topless guy jumping a ramp on a bike .,skip_because_no_change
a mountain biker is riding along a heavy dirt trail in a wooded area .,Mountain bikers ride along heavy dirt trails.
a bicyclist with a green shirt rides through the woods,skip_because_no_change
a man is riding a mountain bike on a woodland trail .,The man was riding a mountain bike.
a man rides a bike through a wooded trail .,skip_because_no_change
a man in green biking in the woods .,The man in green was biking.
an asian man is cooking several meat on a stick .,skip_because_no_change
a balding man is cooking some meat on a stick .,skip_because_no_change
an asian man is cooking food outdoors .,Asian men cook food.
a kitchen staff is preparing food .,skip_because_no_change
a man preparing food on a grill .,A man who prepares food.
four people rollerskating with spectators in the background .,Four people rolled in rollerskate with spectators.
four women competitively rollerskating around an area .,skip_because_no_change
women skaters on a skating rink in athletic equipment .,a woman skating in sports equipment
three women participate in a roller derby .,skip_because_no_change
four women rollerblade .,skip_because_no_change
a man sitting up taking a nap on a park bench with an open umbrella protecting him from the sun .,A man sitting on his nap with an open umbrella to protect him from the sun.
a black person in black and red is sleeping on a bench with an open black umbrella .,Black people in black and red slept with an open black umbrella.
the person in red and black is laying on a bench under a black umbrella .,skip_because_no_change
a man is sitting on a bench shading himself with an umbrella .,skip_because_no_change
man on bench sleeping under umbrella for shade,A man sleeping in the shade.
a girl in a pink tutu doing a handstand on a couch .,a girl in a pink tutu doing handstands
a girl in a pink dress is standing on her head .,A girl in a pink dress stood.
a girl in a pink tutu standing on her head .,A girl in a pink tutu stood.
a girl in a pick dress stands upside down .,A girl in a picked dress stood.
a girl wearing pink does a handstand .,skip_because_no_change
four woman are playing on a beach as a huge ship passes in the background .,Four women played as the huge ship passed by.
slightly overweight women in bikinis are playing on a beach .,A slightly overweight woman in a bikini plays.
four women in bathing suits are playing on the beach .,Four women in bathing suits played.
women playing volleyball in the sand near the ocean .,The women played volleyball.
four girls play volleyball .,skip_because_no_change
two construction workers operate a large piece of construction equipment .,skip_because_no_change
a man sitting on construction equipment behind a chain link fence,The man was sitting.
a man in a yellow shirt dozes while riding a crane .,skip_because_no_change
two men hanging around a construction site .,Two men were hanged around the construction site.
person in yellow t-shirt is sleeping .,skip_because_no_change
a woman in a black shirt and a girl in an orange shirt are looking at a brochure .,skip_because_no_change
a woman and young girl looking through a selection of books .,skip_because_no_change
a woman helping a little girl pick out and read a book .,skip_because_no_change
a woman and a young girl look through a book together .,skip_because_no_change
a woman and young girl are looking at a book .,skip_because_no_change
three little children in a grassy yard running towards the camera .,Three little children ran to the camera.
three toddlers are running towards the camera in a grassy yard .,Three toddlers ran to the camera.
two little girls and one little boy are running on the grass .,Two little girls and one boy ran.
three young children are walking through a grassy yard .,Three young children walk.
three little kids are playing on a yard .,Three little kids playing.
a dog swims holding a large stick in his mouth in front of a city skyline .,A dog swimming with a large stick holding his mouth.
a dog swimming along the ocean with a bark in its mouth .,a barking dog that swims along the ocean.
dog swimming in the water with a stick in its mouth .,a dog that swims in water with a stick
a dog swimming though water holding a stick .,skip_because_no_change
a dog swimming with a stick in its mouth .,a dog that swims with a stick
an american footballer in a white strip who is carrying the ball is being pursued by another player in a black strip .,skip_because_no_change
one football player holding the ball is chased by another football player from the opposing team,skip_because_no_change
a football player with a football is being pursued by another player .,skip_because_no_change
a football player in mid stride holding a football .,skip_because_no_change
a football player is running with a football .,skip_because_no_change
four cheerleaders are walking in a straight line on the football field .,Four cheerleaders walked straight through the line.
four cheerleaders in a squad walk along a football field .,4 cheerleaders from the squad walked.
cheerleaders wearing blue walk onto the football field .,A cheerleader in blue walked.
a line of cheerleaders walking down the football field .,A line of cheerleaders walked down.
four girls in a blue cheerleader outfit .,skip_because_no_change
a middle eastern man wearing black with a white turban laughs as a younger middle eastern man wearing brown and a green and teal turban works .,skip_because_no_change
two middle eastern men are hand mixing cement .,skip_because_no_change
one man shoveling sand while another looks on .,skip_because_no_change
a man in a brown dress standing in sand .,A man in a brown dress stood.
two arab man shoveling .,skip_because_no_change
a rugby player has emerged from the pack with the ball in his hands .,Rugby players emerge from the pack with balls.
rugby player in red gets ready to toss the ball .,skip_because_no_change
ruggers are competing in a fierce game of rugby,skip_because_no_change
men playing a game in red uniforms,skip_because_no_change
a group of men play soccer .,skip_because_no_change
a man and woman are looking over a brick wall at a beach scene with a man and a woman embracing at the bottom of the wall .,The man and woman looked at the beach scene with a man and a woman embracing.
"two couples are passionately embracing on a beach , while an elderly couple looks on from above .","When the elderly couple looked above, they both passionately embraced."
one couple is kissing against a wall while another looks on from atop the wall .,One couple kissed while another looked on top of each other.
an older couple looking down on a younger couple as they make love .,skip_because_no_change
two people hugging while two other people stare down on them .,skip_because_no_change
fluffy golden puppy holding yellow rings in mouth while running through grass,A fluffy gold puppy holds a yellow ring as it runs.
a tan dog is running through the grass with a yellow toy in its mouth .,A tan dog ran through the grass with a yellow toy.
a puppy is running across the grass with a yellow toy in its mouth .,A puppy with a yellow toy ran across the grass.
a tan dog with a red collar runs with a yellow toy in its mouth .,A tan dog with a red collar and a yellow toy ran.
a cute puppy fetches a yellow ring chew toy in the yard .,The cute puppy fetched a chewing toy of yellow rings.
"two men , one of which is wearing a red shirt and a white , skirt-like thing over his black pants .","Two men, wearing red shirts and white skirts."
two people perform a song and dance for a crowd of spectators in a plaza .,Two people performed songs and dances to a crowd of spectators.
two people are performing in front of a crowd in a downtown area .,Two performers.
a couple women perform in the street for a crowd of people .,A couple of women performed for a crowd of people.
two performers in front of a crowd in a city .,Two performers.
a black and white dog runs towards the camera .,skip_because_no_change
a white and black dog runs on the grass .,White and black dogs run.
the white and black dog is on the grass .,"White dogs, black dogs."
a white dog jumping towards the camera,skip_because_no_change
black and white dog running outside .,The black and white dog ran.
a woman smiles from inside a red tent that is surrounded by snow .,The woman smiled.
the hiker pokes out of her tent to find that snow is everywhere .,The hiker poked out of his tent to find snow.
a person peeks out from a colorful tent in a vast field of snow .,People peek out of colorful tents.
a man pokes his head out of the red tent in the snow .,The man poked his head out of the red tent.
a person poses inside of a tent surrounded by snow .,People surrounded by snow pose.
"two women , one wearing red and one wearing black , playing violins at a concert .",skip_because_no_change
a woman in a black shirt and pants playing the violin for an audience .,skip_because_no_change
a crowd of people are watching a musical performance on stage .,A crowd of people watched the music performance.
a woman plays an instrument while many people watch her .,skip_because_no_change
a gathering of people at a small concert .,People gathered.
here is a picture of a construction crew getting ready to go to work on a skyscraper .,skip_because_no_change
a group of construction workers walk past a building under construction .,A group of construction workers walked.
a crew of construction workers stand in green vests before a building .,The crew of construction workers stood in green vests.
there is a group of people standing in a construction site .,A group of people stood.
cranes work on the frame of a building under construction .,skip_because_no_change
an old man with a large belly is next to a filled shopping cart and a dog on the street .,The old man with a large belly was next to a full shopping cart and a dog.
a scruffy fat man is standing next to a dog and a shopping cart full of stuff .,The scruffy fat man stood.
an old man and his dog are standing otuside with a cart .,The old man and his dog stood.
a homeless man stands in the street with a black dog .,A man without a home stood with a black dog.
"a man and a dog , with a shopping cart full of items .",skip_because_no_change
a dog in a swimming pool and another dog on the edge of the pool .,The dog and another.
a dog swims in the pool while another dog watches from the deck .,The dog swam while another dog watched.
a tan dog swims in a pool while a black and brown dog looks on .,The tan dog swam in when the black and brown dog looked on.
a dog swims in a pool while another watches .,The dog swam while another dog watched.
two dogs playing in a pool,Two dogs playing.
"a middle-aged man , in a beige jacket , sitting on a park bench holding his umbrella as people walk by .",skip_because_no_change
"man sitting on a bench in a wooded park , watching people walk past .",A man sitting watching people walk by.
a man with an umbrella sits on a bench in a public area .,A man with an umbrella sat there.
"four people in a park , one sitting with a cane .","4 people, one sitting with a cane."
man sitting by himself in city park .,The man is sitting on his own.
children in what appears to be an elementary school classroom hard at work .,Children who work hard.
there are many children working on different activities in the classroom .,There are many children who work in different activities.
children and teacher keeping busy with arts and crafts during class .,skip_because_no_change
a group of young children are participating in arts and crafts .,skip_because_no_change
children are performing activities inside a classroom .,Children's activities
"a small girl is looking at a pink and black ball , in a parking lot .",The small girl looked at the pink and black balls.
the young girl is playing on white rocks with a small pink ball .,skip_because_no_change
the little girl in the green dress is chasing after a pink ball .,skip_because_no_change
a small girl chases a pink ball over the gravel driveway .,skip_because_no_change
the little girl is chasing after her pink soccer ball .,skip_because_no_change
soccer player # <number> is kicking the soccer ball .,skip_because_no_change
soccer player kicking yellow and blue ball .,skip_because_no_change
a soccer player wearing a white jersey .,skip_because_no_change
a soccer player is making a kick .,skip_because_no_change
a soccer player in action .,skip_because_no_change
"a group of people are gathered in a wooded area ; the children are sitting down writing , and the adults are standing up next to them .","A group of people gathered, children sat down to write and adults stood."
a group of school-aged children are sitting in a forest taking notes while several adults look on .,A group of school children sat down to take notes while several adults looked on.
a group of children are recording information on a day hike with parents in the wilderness .,"During the day hike with their parents, the children's group recorded the information."
students sitting outside in a forest with books and pencils .,Students sat with books and pencils.
a group of backpackers take a break under a nearby tree .,A group of backpackers broke through.
two asian children smile while hugging each other .,skip_because_no_change
two children grin and hug each other .,skip_because_no_change
two children smile for the camera .,skip_because_no_change
two kids hugging each other .,skip_because_no_change
two children hug and smile .,skip_because_no_change
a child in a blue and white striped shirt crosses his arms and smiles while standing on red carpeted stairs .,"Children in blue and white stripes walked up to them, crossing their arms and smiling."
a child is standing beside a banister on a red carpeted stair .,The child stood.
a boy is standing on the stairs with his arms folded .,The boy stood folded in his arms.
a young blond boy smiling standing on a staircase,A young blonde boy who smiles and stands.
little boy smiling on the stairs .,The little boy smiled.
two men trying to pray near a mosque during friday prayers that were held by the imam,skip_because_no_change
two men are kneeling and working in the street .,Two men on their knees working.
two men bent over a curb working on something .,skip_because_no_change
man with visible underwear examines sidewalk .,skip_because_no_change
two men are kneeling on a sidewalk .,Two men on knees.
a little boy in black shorts and no shirt is holding on to handles as he flies down a rope .,skip_because_no_change
a young boy on a zip line with a red ladder in the background .,Young boy on zipline with red ladder
a young boy is holding on and riding a zip line down a hill .,skip_because_no_change
a child holding onto handles sliding across a rope .,skip_because_no_change
blond young boy rides a zip line in the woods .,A young blonde boy rode a zip line.
"two men operate a cement truck in the daytime , wearing white t-shirts and blue jeans , and one of them talking on a mobile phone .",skip_because_no_change
a construction worker operates a cement mixing truck while talking on a cellphone .,skip_because_no_change
two men in white shirts working on a cement truck .,skip_because_no_change
cement truck worker talking on his cellphone .,skip_because_no_change
two men work next to a cement truck .,Two men work.
there is a group of firemen watching a huge fire in some buildings in the distance .,A group of firefighters watched a huge fire.
three firefighters duck from fire and smoke coming from a building .,skip_because_no_change
firemen stand outside a burning building with lots of smoke .,The fireman stood with a lot of smoke.
the firefighters are just under the flames and smoke .,Firefighter
firemen are battling a fire .,skip_because_no_change
a person dressed in light blue with white shoes does a back flip in the grass .,skip_because_no_change
a man in a jean jacket and jean pants is doing a back flip on a grassy area .,The man in jeans jackets and pants flipped back.
a boy in a blue shirt is doing a back flip in the air .,The boy in blue shirt flipped back.
a person dressed in blue performing a back flip .,skip_because_no_change
person doing backflips outside in the grass .,Flip back.
a cyclist wearing a black helmet is riding by some black vans .,skip_because_no_change
a bicycler is riding a bike at a racing event .,Bicyclists ride bikes.
man wearing helmet and racing gear on a bicycle,A man in helmets and race gear.
a person on a bicycle goes down the street .,skip_because_no_change
funky bicycle being raced,skip_because_no_change
"a young boy plays in the sprinklers , allowing the water to spray completely over his right arm .","The young boy in the z9 played, allowing water to be completely sprayed over the right arm."
a child in black shorts is splashing in a fountain .,skip_because_no_change
a boy in a swimsuit is playing in gushing water .,The boy in a swimsuit played.
a boy in shorts stands next to a jet of water .,The boy in shorts stood.
a child and two dogs play in the water .,The children and two dogs were playing.
a woman wearing a chinese straw hat operating some sort of stainless steel machine in what appears to be a park .,A woman in a Chinese straw hat who operates some sort of stainless steel machine.
"a person wearing a straw hat , standing outside working a steel apparatus with a pile of coconuts on the ground .","A straw hat-wearing holder, standing on steel apparatus working with coconuts piled on the ground."
a man wearing a rice hat is shucking corn using a corn shucker and is surrounded by trees .,skip_because_no_change
a woman with a straw hat working on a strange machine with coconuts at her side .,A woman with a straw hat working in a strange machine with coconuts.
a woman on the side of a street is making food on her cart .,The women made food with their carts.
"asian male in baseball cap , striped polo shirt , sitting on ground , with white thread , stitching up a shoe .","Asian male in baseball cap, stripe polo shirt, sitting, white thread, shoe stitching."
"a man in a worn arizona ball cap , polo shirt , and dark pants stitches something on his lap .",skip_because_no_change
an asian man in a polo shirt repairs a tennis shoe .,skip_because_no_change
a man in a hat is using a tool to fix a shoe .,skip_because_no_change
a young man sits fiddling with his shoe .,skip_because_no_change
a motorcyclist rides down a ramp held up by colorful barrels .,skip_because_no_change
a blue motorcycle is jumping over some colored barrels .,skip_because_no_change
a man riding a blue motorcycle jumps over a ramp .,skip_because_no_change
a motorcyclist jumping on a ramp,skip_because_no_change
a dirt biker lands on a ramp .,Dirt bikers land.
this picture shows a group of soldiers in body armor with red shields,skip_because_no_change
a group of people dressed in armor are standing on the green grass .,A group of people dressed in armor stood.
warriors in chain mail holding shields waiting in line .,A warrior holding a shield waiting in a line.
a roman reenactment is taking place .,skip_because_no_change
men in armor hold red shields .,skip_because_no_change
a practicing martial artist is photographed in mid leap slicing through bamboo with his sword .,skip_because_no_change
a martial artist is practicing with a sword against a stick of bamboo .,skip_because_no_change
a man in black pants and a white shirt chopping bamboo with a sword .,skip_because_no_change
a man in a martial arts uniform in midair .,A man in martial arts uniform.
a young man is in practice .,skip_because_no_change
a dj with headphones on is moving knobs up and down on his dj equipment .,skip_because_no_change
a shaven head young man wears headphones and works with a mixing board .,skip_because_no_change
a man wearing headphones is controlling a machine .,skip_because_no_change
a man adjusts music on an audio mixer .,skip_because_no_change
a man with earphones is hard at work .,skip_because_no_change
one dog is bearing its teeth at the other two dogs as they run beside the water .,"When one dog ran, the other bears his tooth."
the dog on the right is baring his teeth at the other two dogs .,skip_because_no_change
one dog baring teeth at two other dogs running on the sand .,One dog bared his teeth to the other two running.
the three dogs are running through sand near a lake .,skip_because_no_change
three dogs fighting on the shore of a lake .,Three dogs fighting.
"a woman wearing gray pants , a white blouse and a black vest is jumping with one hand in the air as she goes through an indoor stadium .",skip_because_no_change
a woman performing with a man on electric piano for an audience .,skip_because_no_change
a woman wearing a white shirt and gray pants is dancing .,skip_because_no_change
a woman wearing a black vest is dancing .,skip_because_no_change
a young girl in a black vest jumps .,skip_because_no_change
there are a bunch of soccer players standing around the soccer field in the middle of a game .,A bunch of soccer players stood in the middle of the game.
there is a stadium full of people watching sporting event with male players .,skip_because_no_change
a soccer game where everyone is standing around on the field .,It was a soccer game where everyone stood.
the soccer teams are gathered on the field .,Soccer teams gathered.
two soccer teams are playing a game .,skip_because_no_change
"a young boy wearing a red , white and blue striped shirt is holding a spider in his right hand as he looks at .",skip_because_no_change
a young boy staring at what appears to be a grasshopper as he holds it in his right hand by its leg .,skip_because_no_change
"a boy in a red , white , and blue striped shirt holding and examining a bug .",skip_because_no_change
a young boy in a striped shirt playing with a giant spider .,skip_because_no_change
a young boy in a striped shirt is holding a cricket .,skip_because_no_change
an older man with glasses and gray hair is wearing a red striped robe while sitting and staring off in the distance .,skip_because_no_change
three people are waiting patiently for news about their loved one .,skip_because_no_change
"two men and a woman sit , arms folded , by a window .",The man and woman sat folded arms.
<number> adults sitting in some sort of waiting area .,There are a number of adults sitting around.
three people sitting in a room together .,Three people sat together.
a young woman in a white shirt and black pants holding a top hat entertaining some people sitting at a table,skip_because_no_change
a waitress is performing in a restaurant with her arms spread out and a top hat in her left hand .,The diners performed with their arms spread out and a top hat.
a young lady is holding her arms outstretched and is holding a top hat in one .,skip_because_no_change
"a woman , holding a hat , is standing in a restaurant , with people watching .",A woman holding a hat stood with people watching.
a magic act is being performed at a restaurant .,Magic acts are performed.
a child wearing a blue shirt is jumping in the air .,skip_because_no_change
a child jumping off bleachers with a blue shirt .,skip_because_no_change
a child in a blue shirt jumping off a bench .,skip_because_no_change
a child wearing a jersey jumps in the air .,skip_because_no_change
a girl jumps in the air .,skip_because_no_change
"a couple is sitting along side a canal and kissing , while a woman in red sits near them and looks uncomfortable .","The couple sat and kissed, but the red woman sat and looked uncomfortable."
a casually dressed young blond woman is looking away sadly as couple near her are kissing .,skip_because_no_change
couple kisses while sitting on a bench next to a river while others are seated adjacent .,There were couple of kisses while I was sitting in the seat of others.
a blond woman in a red top is sitting on a wall next to a kissing couple in jeans .,A blonde woman in a red top sat on her lap.
the couple is kissing and lady in red turning her back .,skip_because_no_change
two men and a dog are playing with a ball in front of the boats in the ocean .,Two men and one dog played ball.
two men toss a ball while standing in the water and a dog is with them .,Two men toss the ball while standing and the dog with them.
two men and a dog are playing with a ball in the water .,Two men and one dog played ball.
two people and a dog playing in the water with a ball .,The two people and the dog played with the ball.
two boys and a dog playing catch in the water .,Two boys and one dog played catch.
a crowd of people casually dressed are watching a band with two members .,skip_because_no_change
a lot of people are listening to a man with a microphone .,skip_because_no_change
a group of people are at a rock concert .,skip_because_no_change
people dancing to music at a concert .,Music dancers.
people are dancing at a party .,People are dancing.
"two male construction workers in safety vests , sitting in a fenced in area on a street , reading newspapers .","Two male construction workers were sitting, wearing safety vests, reading newspapers."
two construction men with white hats are sitting in chairs reading newspapers .,Two construction men with white hats sat reading newspapers.
two construction workers in white hard hats reading newspapers .,skip_because_no_change
two men in construction uniforms are sitting reading together .,Two men in construction uniforms sat.
two men in construction outfits reading the newspaper .,skip_because_no_change
a group of young people take shots in a mexican setting .,A group of young people shot.
a group of people at a restaurant about to take shots .,A group of people were about to shoot.
young people in sombreros enjoy shots and drinks .,skip_because_no_change
a group of people taking shots at a restaurant .,skip_because_no_change
people wearing sombreros drink shots happily .,skip_because_no_change
"a man wearing blue pants is standing on a ladder , working on building the roof of a dome on a white building .",A man in blue pants stood and worked to build the roof of a white building.
a man on a ladder repairs bronze shingles on the roof of a building .,A man on a ladder repaired a bronze shingle.
"a man is working on building a gold , dome-shaped roof .",skip_because_no_change
a man on a ladder repairs the roof of a building .,The man repaired the roof of the building.
the man works on the roof of the building .,skip_because_no_change
a man wearing a fanny pack and a woman are walking down a crowded street .,The man in a fanny pack and the woman walked down.
large amount of people walking along a busy urban street .,A large amount of people walked.
a crowd wanders a city street lines with china 's flags .,The crowd with Chinese flags wandered in.
a lot of people are walking on the street of big city .,Lots of people walk.
a crowded city street in asia .,crowded city streets
a little boy jumps off of a bunk bed onto another bed .,skip_because_no_change
a young boy jumping from a bunk bed on a smaller bed .,skip_because_no_change
a small boy jumps from a bunk bed onto a single bed .,skip_because_no_change
a little boy jumps high off his bed .,skip_because_no_change
a child leaping toward a red bed .,skip_because_no_change
a man does bike jumps in the dark in an empty pool .,The man jumped on a bike.
a man is doing a trick on his bike in a skatepark .,The man tricked with his bike.
a lone bicyclist jumping in the air over a ramp .,skip_because_no_change
a person doing a leap with his bike over a hill,skip_because_no_change
a person on a bike in the air over a ramp .,Bikers.
a man wearing all blue walking down street across a blue van and blue car,A man in all blue walked down the street.
a man with a blue coat is walking down the street with a white flower .,skip_because_no_change
a man in a blue jacket walks alone by an office building .,A man in a blue jacket walked alone.
a grizzly postman carries a flower and mail to deliver .,skip_because_no_change
bearded man in a blue jacket walking down the street .,A bearded man in a blue jacket walking down.
a large black man wearing a red chicago shirt is sitting in a wheelchair by a blue lamp post .,The large black man in a Chicago red shirt sat in a wheelchair.
an old man sleeping in a wheelchair outside of a building .,The old man sleeping in a wheelchair.
a man in a wheelchair is sleeping on a sidewalk .,The man in a wheelchair was sleeping.
man sitting in a wheelchair .,The man was sitting.
a man resting on a street .,Rest of the man.
"two men wearing brown sacks stand in the street in front of a dun cage topped with leafy branches , one of them holding a yellow rod .",skip_because_no_change
two young men wearing potato sacks pull a decorated cart down a street onlookers watch on the side of the street .,skip_because_no_change
"two teenagers wearing potato sacks , walking in a parade .",Two teenagers walking in potato sacks.
two men dressed in potato sacks pull a parade float .,skip_because_no_change
guys wearing potato sacks pull a cart down the road .,skip_because_no_change
