Original Sentence,Processed Sentence
"['Climbing to retrieve items from a man with rubber boots and a white shirt, he was a man with specific tanks.']","['Climbing to retrieve items from a man with rubber boots and a white shirt, he was a man with specific tanks.']"
['But a man with a dark pair was sitting beside another man speaking from a microphone.'],['But the man speaking beside another sitting man with a dark pair spoke.']
['A man with eyes closed with dirty dress shoes and suit lying in the street with cardboard pieces.'],['A man with eyes closed with dirty dress shoes and suit lying in the street with cardboard pieces.']
['Two people standing on top of a rock in the middle of cloud and snow.'],['Two stood.']
['A bald man with a tattooed head stands next to a man in front of a transparent awning in a brown T-shirt.'],['A bald man with a tattooed head stood.']
"['Two facing ball-strikers, female beach volleyball players, will prepare for the game.']","['Two facing ball-strikers, female beach volleyball players, will prepare for the game.']"
['On the sidewalk next to the man stands a woman in her blue shirt and high heels.'],['A woman stood in her high heels and blue shirt.']
['The blond man plays the guitar with one other player whose vision is barely out of the frame.'],['The blond man plays the guitar with one other player whose vision is barely out of the frame.']
"['When a large group of people walk down the sidewalk and are standing in front of a green-roofed coffee-maker, they are seated.']","['When a large group walked down, people stood up and took their seats.']"
"[""And holding the head of a small child in a red jacket, sitting on the man's shoulders.""]","[""And holding the head of a small child, he sat on the man's shoulder.""]"
['A room with strewn clothes appears to be where the man is falling from a high distance from bed.'],['The man appeared to have fallen from a high distance from the bed.']
"['A man with a dirt backpack and helmet stood in a hilly, grassy area.']",['A man stood with a dirt backpack and a helmet.']
['A white dog jumped on a bandwagon to catch a cloth frisbee and catch another black dog.'],['A white dog jumped on a bandwagon to catch a cloth frisbee and catch another black dog.']
['A man with a helmet and white shirt was using climbing equipment.'],['A man with a helmet and white shirt was using climbing equipment.']
['The climber was standing next to a pink rope and a rock face.'],['Climbers stood.']
['The boy was standing in front of a swimming pool smiling.'],['The boy smiled as he stood .']
"['And a pink frisbeen thrown by a short-sleeved man catches his eye, and a tri-colored dog jumps in.']","['And a pink frisbeen thrown by a short-sleeved man catches his eye, and a tri-colored dog jumps in.']"
['A gray dog stands on a sloped tree trunk overlooking a grassy field.'],['A gray dog stood overlooking a grassy field.']
['A female walking down the street in white high heels and blue jeans.'],['A female in white high heels and blue jeans walked down.']
"['And the other was smiling at the camera, leaning out a safety harness, and the two workers were picking up a cherry.']","['And the others smiled and leaned out on one another, there were two workers.']"
"['On a busy city street, cellphones pass by while talking to each other.']","['On a busy city street, cellphones pass by while talking to each other.']"
['The boy with a sippy cup sits in his toy car drinking .'],"['Sitting with a sippy cup of tea in a toy car, the boy drank.']"
['A man dressed in a black vest and white shirt was playing an electric guitar.'],['A man dressed in a black vest and white shirt was playing an electric guitar.']
"['A wedding photo of the bride jumping on the bandwagon, a great wall of China.']","['A wedding photo of the bride jumping on the bandwagon, a great wall of China.']"
['A man with a white hat and beige shirt stands looking at the bottom of a brown staircase rooted in colorful images of designs and animals.'],"['A man stood looking at the bottom of a brown, rooty staircase, wearing a white hat and beige shirt.']"
"['As the swimmer goes down the river, his acceleration accelerates.']","['As the swimmer goes down the river, his acceleration accelerates.']"
['A guy smoking a cigarette looking for bones and fossils that might have been found.'],['A guy who smokes cigarettes and looks for bones and fossils.']
['A man sleeping outside a wooden chair in gray pants and shirt.'],['A man in gray pants and shirts sleeping.']
['A sleeping baby was pushed to a stroller in a walkway next to a large body of water.'],['Sleeping baby pushed into stroller.']
['A man in a button-shirt was sitting at the table.'],['A man in a buttoned shirt sat there.']
"['But in a room full of people around the table, an adult who has partially been seen sits across the tables looking with leaning fists at a young head boy, looking at a checker board.']",['But the young head boy looked at the checkerboard with lean fists.']
"['The neighbor, in a pink sweater, is across from the girl, while the two parents sit on the couch.']",['But the two are sitting.']
"['A white and blue speedboat parked in a driveway stood up to a man, or an older boy.']",['Or older boys standing up for men.']
['A black toothed dog emerges from the water with an object collected from him.'],['A black toothed dog emerges from the water with an object collected from him.']
"['In a purple boat, swimmers were battling waves, wearing rain gear.']","['In a purple boat, swimmers were battling waves, wearing rain gear.']"
['Two little girls in pink outfits play in a red and yellow playground.'],['Two little girls in pink outfits were playing.']
['A black dog was running in the water.'],['A black dog was running in the water.']
['And a downhill skier in a backpack with wispy clouds and mountains in the background.'],['And the background of downhill skiers is wispy clouds and mountains.']
['A small child in a blue shirt was standing in front of a group of tires.'],['A small child in blue shirt stood.']
['Two boys in bright blue jeans stand at a water fountain.'],['Two boys in bright blue jeans stood.']
"['One walking on the beach holding a surfboard, while others were going under the gazebo.']","['And the surfboards were held, and went under the gazebo as we walked along the beach.']"
['The man wears beat up brown shoes and white socks on a black bicycle.'],['The men were wearing beat up brown shoes and white socks.']
"[""The story's gray cloth-washer jumps on the bandwagon in front of the apartment.""]","[""The story's gray cloth-washer jumps on the bandwagon in front of the apartment.""]"
"['A woman in a long black sweater was standing near the sidewalk on a pink bike, wearing a pink bike.']",['A woman in a long black sweater stood.']
"['In a library setting, working schoolwork, and the children reading.']","['and the children work schoolwork, read.']"
['A large work site with girders and railings surrounds the worker in blue shirt standing in the middle near a large pile of soil.'],['A worker in blue shirt was surrounded.']
['Four young women around the kitchen counter in the foreground of a brownie plate.'],['Four young women.']
"[""Here's a picture of the band performing a concert .""]","[""Here's a picture of the band performing a concert .""]"
['The woman preparing homemade sushi wearing a dark blue scarf was in the process of doing so.'],['The woman preparing homemade sushi wearing a dark blue scarf was in the process of doing so.']
['A male weimaraner with a clipped tail was walking on the river.'],['A male weimaraner walked with a clipped tail.']
"['And the boys in between were holding a clear second bottle of water, sitting on a stone floor with two young African legs in bright blue clothing.']","['And holding a second clear water bottle , two young African leg boys in bright blue clothing sat on the stone floor .']"
['The young boy in a blue outfit was sliding down the slide into the red.'],['The young boy in a blue outfit was sliding down the slide into the red.']
"['Another blue man balances behind him in the log behind him, also balancing, with blue pants and a light blue shirt and pant and a yellow shirt.']","['The man who is also balanced has blue pants, light blue shirt, pants and yellow shirt.']"
['And the other men playing frisbee on a field near the airport were two men in white ball cap and blue shirt.'],['And the other played frisbee with one man in a ball cap and blue shirt.']
['But many other individuals pass by conversing while a woman and a man are eating snow cones at an intersection.'],['But many other individuals passed by a conversation as the women and men ate snow cones .']
"['And making a tall sand castle, a kneeling man with a red beanie and blue swimsuit settled on the beach, on wet knees in the wet sand.']","['And a kneeling man with a red beanie and blue swimsuit made an as tall a sand castle , settling on the beach .']"
['A woman in a red uniform was washing windows outside the building.'],['A woman in a red uniform was washing windows outside the building.']
['A man wearing camouflage masters a motorcycle across some stones.'],['The man in camouflage masters the motorcycle.']
"['The young man in clothing adjusts to the lake, and others swim and dive in the lake.']",['But the others swam and dived.']
"['And looking in the same direction, the young girl was standing next to a fallen tree in the river with a dog and a girl.']",['And the dog and the young girl looked in the same direction and stood.']
['A woman in white boots and a long dress walking along a stone structure with white columns was walking along.'],['A woman with white columns walked with white boots and a long dress.']
"['A brown dog trying to bite a white ball with a blue, green and yellow puppy.']","['A brown dog trying to bite a white ball with a blue, green and yellow puppy.']"
['The open mouthed black dog runs on green grass.'],['The open mouthed black dog ran.']
"['When the little boy was sitting on a log, pointing upwards, holding a cookie,']","['When the little boy was sitting and pointing and holding a cookie , he was sitting .']"
"['And the woman and the man were walking in opposite directions, looking behind them at the stretch limo with a purse, sitting on a bench next to a cane, a blue-dressed woman in her blue suit.']","['Women and men walk, and the dressed woman looks on in a stretch limo with a purse and sits.']"
['A black dog was running along the shallow edge of a large body of water.'],['A black dog was running along the shallow edge of a large body of water.']
['A light brown dog was running to something on the beach.'],['The light brown dog ran to something.']
['But a group of three men in white shirt sit on the curb with a black stripe as they stand near a police van.'],['But a group of three men in white shirt stood.']
['Construction worker working in the building.'],['Construction worker working in the building.']
['A group of construction workers working on the closed ramp.'],['A group of construction workers working on the closed ramp.']
"['Two men hike in barren terrain, pause on a rock.']","['When two men hiked, they paused on a rock.']"
['Someone in the window watching from the window as the next house drove by and the mailman was going to deliver was looking out.'],['Someone looking out of their window watching as the next house drove by and the mailman delivered.']
"['Standing next to the road, where cars are blurry, the woman.']",['The woman stood.']
"['And a clay tiled roof approaches him, and a man with a yellow house and his own, in blue checked shirt and jeans climbs onto the pole.']","['And a man with a yellow house, a blue checker shirt and jeans approached the pole , a man with a blue house , climbed up the pole .']"
['And most were wearing some type of hat or red clothing and the crowd was seated together.'],"['And most wear some type of hat or clothing, seating together in a crowd of people.']"
"['On the background wall was a poster about blood cells, but a black man in a dress shirt was looking at a microscope.']",['But the black man in dress shirt looked like a microscope.']
['Brown dog biting the ear of a white gray dog.'],['Brown dog biting the ear of a white gray dog.']
"['Sitting on a motorcycle wearing a blue, white and red helmet.']","['Sitting in blue, white and red helmets.']"
['Sleeping as a young boy in overalls holding a stuffed brown animal.'],"['Sleeping with stuffed brown animals, young boys held by their hands.']"
"['A large crowd gathered in an outdoor street scene, with a woman walking on a pink bicycle in the foreground and seeing a toy balloon.']",['A large crowd assembled with women walking and seeing toys balloons.']
"['A young boy was standing in a playground seat on a swing, blue background.']",['The young boy stood.']
"['Many people are in a public area, pushing children in strollers.']","['Many people are in a public area, pushing children in strollers.']"
['And in the background were a canoe and a man sitting in tents on the shore.'],['And there were men in canoes and tents sitting.']
['A sweatshirt-wearing man reading a slammer at a cigarette stand and a lottery ticket.'],['A man in a sweatshirt read a Slammer.']
"[""And strawberries to punch for refreshments and a lovely new white and pink cake with a mother's baby shower held.""]","[""And strawberry punch for refreshment punches and lovely new cake for holding people's baby showers.""]"
['Two white men and one Asian woman playing cards in the train hallway.'],['Two white men and one Asian woman play cards.']
"['A man with white cover was spraying water on a mound of face-covered sand drawn from the heart, which says open-up.']","['A man with white cover was spraying water on a mound of face-covered sand drawn from the heart, which says open-up.']"
['Two boys were helping a middle-aged man put a conveyor belt in the groceryes.'],['Two boys were helping a middle-aged man put a conveyor belt in the groceryes.']
['A small child climbing an elevated net.'],['A small child climbing an elevated net.']
['Three swimmers from various stages of the swim race race along colorful lane markers.'],['Three swimmers from various stages of the swim race race along colorful lane markers.']
"['And the man in another door stood by an open trunk door, sitting next to the suv woman.']","['And the man stood, the woman next to her sat.']"
"['And watching one group of people perform, another group of people sit in basketball court bleachers with a dog and a group of people.']","['And the dog and the group of people were watching one another perform, sitting on the dog.']"
"['The man in the picture, in blue shirt, paused to have his taken, finished a barbecue meal.']","['The man in the picture, in blue shirt, paused to have his taken, finished a barbecue meal.']"
"['Two children on a wood floor, on their knees and hands.']",['Two children.']
['The dog trying to catch the snowball jumps on the bandwagon.'],['The dog trying to catch the snowball jumps on the bandwagon.']
"['When the other tent was already set up, a man in a winter coat was holding the tents on the ground, with a ski pole and a pack.']",['Tents were held when other tents were already set up.']
"['used to make brownies, a whisk walking girl in blue beater.']",['The whisk walking girl in blue beaters used to make brownies.']
"['A white horse-pulled man in a red hat and blue shirt was riding at the back of a cart filled with hay, riding in the back.']",['The man was riding a white horse pulling him in red hats and blue shirt.']
"['Excitingly, the golden retriever greets the woman as the little dog walks towards the camera.']","['When a little dog walked by a golden retriever, the woman was greeted enthusiastically.']"
"['In the store and looking for a small picture, the oriental girls and the three women were buying small pictures.']","['And the small picture looked like this: an oriental girl and three women, and they bought it.']"
"['Two men, one in circuit city and the other in a London t-shirt, operate video game guns.']","['Two men, one in circuit city and the other in a London t-shirt, operate video game guns.']"
"['And face the opposite way the camera is going, the woman and the man sit in the car.']",['And the women and the man face the opposite way of the camera and sit.']
['One American was on the phone with three young ladies on the subway train.'],"['And one of them contacted a young lady, three of whom were American.']"
"['On a sunny day, two women and three men stand facing the shores of the ocean.']","['On sunny days, two women and three men stood.']"
"['And a woman was handing over a white item in a shopping basket where she has other items, standing in front of a register found often in supermarkets.']","['And a woman handed a white item, and a young boy stood.']"
"['When a coworker was working on the road, he was holding a stop sign for the road worker.']","['During work, there were signs that said ""stop"".']"
"['and a red and yellow woman smoking a cigarette, walking down the street with a shopping bag.']",['And a red and yellow woman walks down the street with shopping bags smoking cigarettes.']
['A white and black dog jumping on a small stream of water.'],['A white and black dog jumping on a small stream of water.']
"['Leaning on a stone platform outdoors, a baby girl in a light pink and blue dress was leaning on.']",['The baby girl in a light pink and blue dress leans in.']
"['A young woman leads a group of French youth in a chant of ""protest against Sarkozy"".']","['A young woman leads a group of French youth in a chant of ""protest against Sarkozy"".']"
"[""He is smiling closed, his younger brother's eyes have a younger brother, a sprinkler-sliced birthday cake sitting on a table with empty beer mugs.""]",['And he smiled closed--the more eyed people had a sitting on a birthday cake sliced with sprinkles.']
['One man holds a piece of paper while two others stand outdoors looking for a cooking pot.'],['One man holds a piece of paper while two others stand outdoors looking for a cooking pot.']
"['In a nice neighborhood, riding pedestrians bikes and walking.']",['And pedestrians ride their bikes and walk.']
['Children read a bunch of comic books while eating corn dogs.'],['Children read a bunch of comic books while eating corn dogs.']
"['In a food-crowded area, a woman was on hand wearing white see-through pants, a blue sleeveless top and a white sun visor.']","['Women in white see-through pants, blue sleeveless tops and white sun visors were on hand.']"
"['Several people were walking through the crowded outdoor area, including a purple shirtless woman and a shirtless man, who say ""p.i.n.k"" on the back.']","['Several people were walking through the crowded outdoor area, including a purple shirtless woman and a shirtless man, who say ""p.i.n.k"" on the back.']"
"['The motorcycle driver dressed in orange gear was on his right,']","['The motorcycle driver dressed in orange gear was on his right,']"
['Two boys try to attach fruits to a dirt road.'],['Two boys try to attach fruits to a dirt road.']
['A climber wearing a white helmet perched on the side of the rock face.'],['Climbers in white helmets are perches.']
"['Just as a pumpkin was lying on the table, a grining man was about to drill a hole.']","['Just as a pumpkin was lying on the table, a grining man was about to drill a hole.']"
"['And the man, standing next to the bus, smiled from the pocket of his back hand, where he had a blue jacket.']",['And the man in the back hand with a blue jacket smiled in the pocket and stood.']
['A American man with a tank top and black hat plays drums for donations with some buckets.'],['A American man with a tank top and black hat plays drums for donations with some buckets.']
['Standing next to a man in the background a man in a camouflage tank top wearing a gray t-shirt'],['A man in a camouflage tank top in a gray t-shirt stood.']
"[""A person standing on the sidewalk trying to get the passersby's attention wearing a costume with many flowers was standing there.""]","[""People in costumes with many flowers stood for their try to get passersby's attention.""]"
['Two surf-running dogs enjoying the exercise.'],['Two running dogs enjoyed.']
"['In the desert on a cloudy day , a long camel caravan was several rounds away from the camera , passing a sign along the side , a last camel passing by .']","['And the last camel passed the signs, several rounds of a long camel caravan.']"
"['During the carnival , the South American Dancers accompanied the small boy .']","['During the carnival , South American dancers accompanied them .']"
"['Walking past a display window , a woman in a red dress in an urban setting with a pink jacket was walking past .']",['A woman in a red dress walked.']
"['A man in a tank and white jean top stands holding something down on concrete, older in blue jeans and top.']","['A man in tank tops and white jeans stood holding something down on concrete, more in his ""blue jeans"".']"
"['All white and black dogs, brown dogs, were standing in the field.']","['All white and black dogs stood, all brown dogs.']"
['And a man in shorts and t-shirts with glasses stands in the kitchen cutting board thrust by a green tablecloth cut a tomato from the top of the kitchen cutting board.'],"['And a man in shorts, t-shirts and glasses cut tomatoes, standing with shirts.']"
"['And a person in a red coat pointed to the water body, a couple stood.']","['And the people in red coat pointed to the water body, a couple stood.']"
['The young man crawled into a body of water.'],['The young man crawled.']
"['And the crowded, busy dock is standing next to a freight car, or installing or loading people into it.']","['And the crowded docks or stand where people install, load the next car to a freight car.']"
['A short-haired woman sitting on a rocky beach tossed into the water by a rock was sitting on the water.'],['A woman with short hairs sat tossed into the water by a rock.']
['A large black dog playing in the ocean.'],['A large black dog was playing.']
['Two men stood in front of a concrete building using an atm.'],['Two men stood in front of a concrete building using an atm.']
['And holding a cross guitar and a man with a beard wearing a bright red shirt.'],"['And holding a cross guitar, wearing a bright red shirt.']"
['On the other side stands a man in a light blue shirt who stands behind a wooden fence.'],['But the group of people stood.']
"['A large group of people sit on concrete benches, while two in blue jeans walk along in front of them.']","['A large group of people sit on concrete benches, while two in blue jeans walk along in front of them.']"
"['When the man is looking at the loom, a woman in a red shirt with a colorful print weaves her way into the loom.']","['When looking at the loom, a woman in colorful prints weaves.']"
['One karate student kicks a wooden plank while another individual holds a face high during karate practice.'],['One karate student kicks a wooden plank while another individual holds a face high during karate practice.']
['The guy in a gray wagamama t-shirt seems to be a little tipsy when he chats with a smiling woman holding gras necklaces and a glass dress in brown.'],['The guy in the gray wagamama t-shirt seemed a little tipsy when chatting to a woman holding a gras necklace and a glass dress in a brown dress.']
"['When the rattle was reaching next to a large branch over the blue carpet, it was held in the left hand of the left-wing man with bandanna.']",['The rattle was held in the left hand by a man reaching over a blue carpet next to a large branch.']
['Several men wearing helmets were working the railway line.'],['Several men wearing helmets were working the railway line.']
['A wheelchair man in a brown jacket holding a gray cane sits in front of some trees and bush.'],['A man in a wheelchair in a brown jacket sitting with a gray cane sat.']
"['A man in paint on his jeans was standing on a short ladder in the front of the store, standing in front of him.']",['A man in paint and jeans stood .']
"['A young person with cowboy shirt, nose, pierced ear and punk hairstyle is on the profile.']","['Profile of young people with nose, pierced ears and punk hairstyle.']"
"['Many members of the sports league, many of them of red and white stripes and some of them of some colour, walk about in a green and grassy field.']","['Many in the sport league walk in grassy green fields, many with red and white stripes and some with some with some red.']"
"['Two boys with pink uniforms play soccer with printed uniforms, yellow and blue.']","['Two boys with pink uniforms play soccer with printed uniforms, yellow and blue.']"
['A guy in jeans and a playing shirt and bottled hair playing guitar on a street corner.'],['A guy in jeans and a playing shirt and bottled hair playing guitar on a street corner.']
"['And another last man playing trumpet, a keyboard, one man playing guitar.']","['And another last man playing trumpet, a keyboard, one man playing guitar.']"
['Foreign kids playing in a monument or some type of statue.'],['Foreign kids playing.']
"[""A young child with brown hair looks over the woman's shoulder.""]","[""A young child with brown hair looked over the woman's shoulder.""]"
"['A man in brightly colored black jeans, shirt and gray shirt sells toys of invaluable value.']","['A man in brightly colored black jeans, shirt and gray shirt sells toys of invaluable value.']"
['A blond woman pours a glass of wine in a dim restaurant.'],['A blond woman pouring a glass of wine.']
['A dog that looks much like a coyote jumps on a bandwagon to catch a tennis ball on a grassy field for the dog.'],['A dog that looks much like a coyote jumps on a bandwagon to catch a tennis ball on a grassy field for the dog.']
['The three boys play around a fountain in the office building courtyard .'],['Three boys played.']
"[""To see Kurd's father's son, a teacher who doesn't prevent him from cutting when people first shave with a razor, was observing to see.""]","[""To see Kurd's father's son, a teacher who doesn't prevent him from cutting when people first shave with a razor, was observing to see.""]"
"['When a white dog walks on a pink leash, its hand signals to its boy.']",['The hand signals were given by the walking boy.']
"['But a girl with a run throws a yellow softball, wearing a blue uniform with a short helmet, a red short uniform and a shirt.']","['But a girl with a run throws a yellow softball, wearing a blue uniform with a short helmet, a red short uniform and a shirt.']"
['A little girl swimming in a blue sweater and white pink dress.'],['A little girl swimming in a blue sweater and white pink dress.']
"[""A young Asian girl looks upset at children's outdoor playground.""]","[""A young Asian girl looking upset at children's outdoor playground""]"
"[""A man in a white turban shirtless was climbing the tree's trunk.""]","[""A man in a white turban shirtless was climbing the tree's trunk.""]"
['The man was airborne on a wakeboard with blue water and an elevation in the background.'],['The man was airborne with blue water and elevation.']
['A young child in a costume was a door bell in a gray house.'],['A young child in a costume was a door bell in a gray house.']
['Two women sitting near a pile of poker chips were playing cards.'],['Two sitting women played cards.']
['Everybody is cutting the cake slices with a man in the office boardroom.'],['Man cuts everyone a slice of cake.']
"['When another health professional holds the child, the child gets dental care from the dentist.']","[""When a child's hand is held by another health professional, dental care gets done.""]"
['A woman in a gray sweater looks on as two people use a plumb line on the ground.'],['But the two used the plumb line.']
['A baseball player in a back shirt with tulowitzkis was caught by a ball thrown by a man in a black jacket.'],['A baseball player in a back shirt with tulowitzkis was caught by a ball thrown by a man in a black jacket.']
"['The blond boy, eyes closed, buried in the sand, neck up, smiles, ""Close your eyes, Close your eyes, Close your eyes, Close your eyes, Close your eyes, Close your eyes, Close your neck, Close your eyes, Close your eyes, Close your eyes, Close your eyes, Close your eyes, Close your eyes, Close your eyes, Close your eyes, Close your eyes,']","['The blond boy, eyes closed, buried in the sand, neck up, smiles, ""Close your eyes, Close your eyes, Close your eyes, Close your eyes, Close your eyes, Close your eyes, Close your neck, Close your eyes, Close your eyes, Close your eyes, Close your eyes, Close your eyes, Close your eyes, Close your eyes, Close your eyes, Close your eyes,']"
['A hand-wound woman in a yellow shirt and hat was holding out like a claw.'],"[""The woman's hand was held out like a claw.""]"
"['The woman with smiles around her, wearing a hard red hat and long rope has shoulders.']","['The woman with a smile on her shoulder, wearing a hard red hat, and a long rope was a shoulder around.']"
"[""When a man walks down the street with long hair makes a sign that's OK, his hand makes a sign.""]",['When the signs of ok were made with the hands of a man walking down with long haired.']
['A girl in shorts and a bikini top poses for a picture on a mountain overlooking the lake.'],['The girl with shorts and a bikini top poses for pictures.']
"['Holding on to the wall sowing some small rocks, for the man in red pants to try himself.']","['Holding on to the wall sowing some small rocks, for the man in red pants to try himself.']"
['And the group of all black water shooters were standing around fountains in bathing suits.'],['And a group of black people all shooting water from around the fountain stood in bathing suits.']
"['And a man with washed hair was wearing a skull white shirt, playing guitar.']","['And a man with washed hair was wearing a skull white shirt, playing guitar.']"
['A man in blue pants and a yellow vest was walking through dry grass.'],['A man in blue pants and a yellow vest walked.']
"['The crop harvesting took place behind a low concrete fence, by a farmer tractor.']","[""The farmer's tractor harvests the crop.""]"
"['And reading a magazine, a blond woman sitting on a city shade bench.']",['And blond women read magazines and sat.']
['A group of men who appear to be chefs stand in a large gathering of some sort in a circle sharing some kind of food.'],['A group of apparently men stood by.']
['A slightly overweight woman with a top and short skirt stands in front of a bar wall with a window and several old posters.'],['A woman with a top and short skirt stood slightly overweight.']
['Two men standing by a post wearing hard hats and orange vests were in a Chinese parking garage.'],['Two men standing by a post wearing hard hats and orange vests were in a Chinese parking garage.']
"['A man stands outside the restaurant with hands, wearing suspenders, a blue scarf and a white shirt.']",['The outside restaurant man stood hand-held in a blue scarf and white shirt with suspenders.']
"['And this girl was showing up as a fire play, and got some skills.']","['And this girl was showing up as a fire play, and got some skills.']"
['A man rock behind with a blue rope climbs up a very tall cliff.'],['A man rock behind with a blue rope climbs up a very tall cliff.']
"['The older man in the hand, in blue shirt, staring down at a beer can.']","['The older man in the hand, in blue shirt, staring down at a beer can.']"
"['Walking across the street, gray clothes, one white female, two adults away from the eatery, with the foreground blurred, dark-coloured person in dress.']","['Gray clothes, one white female, two adults walking away from the eatery, with the foreground blurred with a color-coded dress image.']"
['A young girl with too big a bicycle balances with a man.'],['A young girl with too big a bicycle balances with a man.']
"['And there stands another man and a woman with a black top, displaying a group of pattern dresses in the hangars.']",['And another man and woman with black tops displayed and stood a group of pattern dresses.']
"['And wearing stewardess hats, white gloves, scarfs and white shirts, two women waved one hand.']","['And wearing stewardess hats, white gloves, scarfs and white shirts, two women waved one hand.']"
['A man in blue jeans and a black shirt stands in front of a shop window next to the open cellar.'],['A man stood with blue jeans and black shirt.']
"['Running in front of the condemned old building was a little girl in her tennis shoes, blue jeans and red shirt, wearing a color bookbag on the back where the words ""prave"" were written on the wall.']","['The little girl in the back running with tennis shoes, blue and blue jeans and red shirt.']"
"['A man with brown glasses, dark jeans and a polo shirt sits reading in front of the piano.']",['A man in a brown glass sitting in front of a piano with dark jeans and a polo shirt sitting in front of the piano reading.']
['The tan dog was dragging the innertube down to the beach.'],['The tan dog was dragging the innertube down to the beach.']
['A white fluffy dog that people own riding a bike is on a leash.'],['A white fluffy dog that people own riding a bike is on a leash.']
"['When a woman with long hair run among one other piece of children, she holds the small hand of a girl in a blue bath suit.']","['When a woman with long hair run among one other piece of children, she holds the small hand of a girl in a blue bath suit.']"
['The bride in a white dress and the member in a gray and black tux are sprinkled with flowers.'],['The bride in a white dress and the member in a gray and black tux are sprinkled with flowers.']
['Three people shopping on the isle at a foreign grocery store.'],['Three people shopping.']
"['While sitting on a towel chewing on the rocky creek, the dressed woman wore brown shoes, plaid shorts and a blue shirt.']","['When the women sat, chewing on the rocks, the dressed feet ate brown shoes, plaid shorts, and blue shirt.']"
['A man in black exercise shorts and white shirt walks behind the street under construction on the sidewalk in front of a two-garage house on the sidewalk behind the street.'],['A man in black exercise shorts and white shirt walks behind the street under construction on the sidewalk in front of a two-garage house on the sidewalk behind the street.']
['A baby carrying a ball stands in front of a house in the background of the hose.'],['The baby carrying the ball stood.']
"['When two dogs are playing in the sand, they pull the same orange ball.']","['When two dogs were playing, they pulled the same orange ball.']"
['and the two men were sitting down wrapped in plastic wrap with baked goods.'],['and the two men were sitting down wrapped in plastic wrap with baked goods.']
['Competitors are ready to compete at a grand opening event hosted by the chief executive.'],['Competitors are ready to compete.']
['Two men in formal clothes were standing outside.'],['Two men in formal clothes stood.']
['The baby girl was taken for a walk in the park with her father.'],['It took a walk by a baby girl.']
"['4 people sitting on a picnic bench eating, next to 5 men.']","['4 people sitting on a picnic bench eating, next to 5 men.']"
"['A man stands near the street with a sign saying, ""Stop raping my wife!""']","['A man stood near with a sign that said, ""Stop raping my people!""']"
['A woman in a color sundress walks past a green building and a white chihuahua.'],['A woman in a color sundress walks past a green building and a white chihuahua.']
"['When the humans on feet put the fountain in, the master puppy on the side checks out the large rottweiler leash in the muzzle.']","['When the foot human put the fountain in, the master puppy checked out on leashes.']"
"['On a deck near the building, near the edge of a wooden railing, four young adults with legs sit outside the building, the rest of the building holding a green soda can and the other holding legs, one young adult standing around a small table, the sun shining through the edge of the wooden railing, another person shining through the sun.']","['On a deck near the building, near the edge of a wooden railing, four young adults with legs sit outside the building, the rest of the building holding a green soda can and the other holding legs, one young adult standing around a small table, the sun shining through the edge of the wooden railing, another person shining through the sun.']"
['A long-haired man stands next to a gray brick wall in front of a seagull playing an instrument.'],['A long-time man with long-term health standing.']
['9 individuals sitting around a whiteboard and a small floor of colored tile'],['Sitting with nine individuals.']
"['In a small apartment, one woman gives another a pedicure while another watches.']",['Another woman gave a pedicure while another gave a pedicure to yet another woman.']
['Two cyclists riding together down the street.'],['Two cyclists riding together down the street.']
['Football player wears a green jersey with a number.'],['Football player wears a green jersey with a number.']
"['When a child with a red shirt waits on a platform for a shirtless child, he rides a zip line.']","['When children with red shirts wait for shirtless children, they ride zip lines.']"
"['The view from the rolling room, where two children and a man slept on the floor, was small, with a door.']","['The view from the rolling room, where two children and a man slept on the floor, was small, with a door.']"
['A shirtless roofer at work has viewed a vane in the weather at an adjacent building.'],['Roofer at work viewing vane.']
['A young boy with shorts kicks a soccer ball from yellowed dry grass beside a picnic table.'],['Young short-tempered boys kicked soccer balls from yellowed dry grass.']
['A drunk man sitting on the sidewalk next to some sort of sort of guitar looking scruffy.'],"['A drunk man sitting looking, scruffy looking at a guitar.']"
['Sitting in a lawn chair holding an incredible hulk being blown up.'],['Sitting with a woman holding an incredible hulk blown up.']
['The girl shows up with a colorful board of batteries that looks like a science project.'],['The girl shows up with a colorful board of batteries that looks like a science project.']
['The pilot of the blue angels air show was about to land on the ground after he had done so.'],['The landing happened about a minute after a pilot flew a blue angel show into the air.']
"['And having a race for potato sacks with six children in it, wearing burlap sacks.']","['And having a race for potato sacks with six children in it, wearing burlap sacks.']"
"['Sitting on top of the building, a guy with boots and shorts.']",['The guy with the boot and shorts sits.']
['Two men prepare dinner next to a bottle of beer.'],['Two men prepared dinner.']
"['A period costumed child looking at the table with an apple basket, cup and bowl.']","['A child in period costume with an apple basket, a cup and a bowl looked at the table.']"
"['A little girl looks down at a woman holding a baby wearing blue shirt, wearing pink shoes and a lime green shirt.']",['Little girls in pink shoes and lime green shirt looked down at a woman holding the baby in blue shirt.']
"[""I'm sure eyeglasses helped him to make sure he was, with his thoroughly cooked, full of meat pieces, enjoyed, surrounded by the wilderness.""]","[""I'm sure eyeglasses helped him to make sure he was, with his thoroughly cooked, full of meat pieces, enjoyed, surrounded by the wilderness.""]"
"['Five fishermen travel towards the snowy backdrop of the peak, through dry scrubby plains.']",['Five fishermen travel towards the peak.']
