Original Sentence,Processed Sentence
['The girl in a purple dress smiled as she climbed an indoor rock wall.'],['The girl in a purple dress climbed a rock wall with a smile.']
skip_because_no_change,skip
"['And the peach shirt girl had her arms around her, and the white shirt girl had a bracelet.']",['And the girl in the white shirt had an arm and a bracelet.']
"['And one bicycle parked nearby with shirt over handlebars, and two shirtless males playing table tennis outdoors in front of a building with bar windows and a brick platform.']","['And one bicycle parked nearby, two shirtless males playing table tennis.']"
['A man in sunglasses played an acoustic guitar on a small stage.'],['A man in sunglasses played an acoustic guitar.']
['Two factory workers had a conversation next to each other on a piece of machinery.'],['Two factory workers had a conversation.']
skip_because_no_change,skip
['Their legs were young adults looking down at the perch among thick branches of a large tree.'],['Their young adult legs found the perch looking down at the viewer.']
"['And in the background were some tan dogs, one of them stood hanging out in the grass, one of them with a tongue.']","['And there were some tan dogs, one of them stood by a tongue hanging.']"
['The young boy in green dress ran along a smooth stone wall near the wet area.'],['The young boy in green dress ran along the smooth stone wall.']
"['Two young girls behind the trampoline had fun on one, smiling as the other posed for a pose and fell down apparently.']","['Two young girls behind had fun on the trampoline, with others posing with smiles and one of the girls falling down apparently.']"
skip_because_no_change,skip
skip_because_no_change,skip
"['In the chair, a sleepy child with dark skin was held in a blue zippered pack.']",['Sleeping with a chair-to-have child in a blue zippered pack.']
"['A little boy in a coat, glasses and blue shorts stood surfing.']","['The little boy stood in a coat, glasses and blue shorts.']"
skip_because_no_change,skip
['The elderly woman and a young man in pink shirt sat together on the train.'],['The elderly woman and a young man in pink shirt sat together.']
['A male fisherman in a green jacket poses next to a large glacier.'],['Male fisherman in green jacket pose']
skip_because_no_change,skip
['Five men stood on stage with colored curtains as backdrop.'],['Five men stood.']
['A black woman holding a tennis racket on a tennis field.'],['Holding a tennis racket.']
['In front of a van in the middle of a messy yard with a euro plat stood a brown mix of chows.'],['A brown mix of chows stood by.']
"['A white, brown hind leg dog stood beside the path.']","['A white, brown dog with hind legs stood.']"
['A young boy looking out into the foliage was out to stop the people from doing so.'],"[""There's a stop for people to stop looking for young boys out.""]"
['A woman in a blue jacket posing for a picture as she skied down the mountain.'],['The woman with the posing as she skis down the mountain.']
skip_because_no_change,skip
['The brown dog who jumped on the obstacle course performed the jump.'],"['The jumping dog, a brown one, performed it.']"
skip_because_no_change,skip
['And the old woman in the computer chair in it painted a picture with several people.'],['And the old woman painted a picture with several people on it.']
"['On the sidewalk, four bikes lined up as the man stood in front of the wall of a light green building.']","['As the men stood, four bikes lined up.']"
['Several young women with heads stretched above performed choreographed routines.'],['Several young women with stretched heads performed choreographed routines.']
['A fluffy white dog looked down at the steep grassy embankment.'],['A fluffy white dog looked down at the steep grassy embankment.']
"['The sheepdogs were watching closely by and prepared to be crouching, feeding their animals and farming sheep.']","['Because sheepdogs were on close watch, and sheep farmers were preparing to feed their animals, they were crouching.']"
"['and ran in the grass, mouth open, tongue hung out, a tan brown dog.']","['Run and mouth hung out, tan and brown dog.']"
"['From the up shoulder range, a young woman with long, windblown hairs smiled.']","['From the shoulder-up range, a young woman with long, blown-haired smile showed.']"
"['Two people performed on stage, one playing guitar and the other in front of a microphone.']","['Two performers, one playing guitar and the other in front of a microphone.']"
['And one man in the spotlight sang from the microphone on stage while the other played guitar.'],['And one man in the spotlight sang from the microphone and the other played guitar.']
"['When the waves came to crash on a very sandy beach, two children in front of them sat in front of a beach chair.']","['When the waves came to a crash, people in front of them sat two.']"
['Two younger women sit looking for gifts at an elderly man with a gray beard and thin hairs on gray.'],['Two younger women sit looking for gifts at an elderly man with a gray beard and thin hairs on gray.']
['Behind the counter stood a woman in a white shirt.'],['A woman in white shirt stood.']
['The man drilled holes in the meat and mushrooms.'],['The man drilled in mushrooms and meat.']
"['And workers were resting their arms on traffic lights, standing in front of the construction site a lone tree using blue mesh with no number of feet.']","['And the workers were resting their arms, a lone tree using blue mesh stood without a foot.']"
['A white middle-aged man sits alone in a bar with a very contemporary design.'],['Sitting alone with an aging white man.']
"['Two men inside the boxing ring engaged in boxing matches, one with red and blue headgear.']","['Two men inside the ring engaged in boxing matches, one with red and blue headgear.']"
['Some fishermen walked past a stream that ran between interesting rock formations.'],['Some fishermen are walking.']
skip_because_no_change,skip
['A man in his blue jack jack sat on a hillside amidst many very tall trees.'],['An elderly man in blue jacks stood.']
"['A man looks from behind, while a female trumpet player and a female soprano saxophonist perform in the street.']",['The actors and female players performed a look from behind from the man.']
skip_because_no_change,skip
['Hundreds of people walked on a very busy street with stars hanging from buildings.'],['Hundreds of people walked.']
"['Three monks in appropriate attire, sandals and black robes walk through a foreign looking country.']","['Three monks walked in appropriate attire, sandals and black robes.']"
['A beautiful footed girl with two dogs opened a christmas present.'],['A beautiful footed girl with two dogs opened a christmas present.']
skip_because_no_change,skip
['This snow lock up slid down the intertubes into the hills.'],['This snow lock up slid down the intertubes into the hills.']
['The girl in a blue bathing suit walked away from the beach.'],['The girl in the blue bathing suit walked away.']
['The black dog carried an orange ball to walk on the ground covered in leaves.'],['The black dog carried an orange ball for the walk.']
['Three children who jumped from the pool in an apparent suburban backyard were in the process.'],['The process was done by three children who jumped from the pool.']
"['A smiling acoustic guitarist in colorful jean and vest stood at Avenue, where the subway stopped, singing.']","['A smiling acoustic guitarist in colorful jean and vest stood at Avenue, where the subway stopped, singing.']"
['Children in gray and red shirt sat in front of a chalkboard.'],['Children in gray and red shirts stood.']
"['And the woman was standing next to a man in suit jackets and a black kilt holding a bouquet of purple flowers, wearing a wedding dress.']",['And the woman stood holding a bouquet of purple flowers and wore a wedding dress.']
"['And there is food around the mouth, and an adult holds a baby in a bib.']",['And the baby was held in her mouth with food.']
['A bald man in business attire is amused by something that is likely to perform comedic off the screen.'],['A bald man in business attire is amused by something that is likely to perform comedic.']
"['When the man behind the table sat at the table with a decorative curtain, a glass of wine and the woman on the other plate, he took a salad.']","['When the man behind sat on the salad, with a decorative curtain, a glass of wine, and the woman, with the other plates, he took it.']"
['But the guy with the glass in his blue shirt looks like a woman with glass reading paper.'],['But a woman with a glass reads on paper.']
"['And a man with his dog in a left hand, wearing a glass, had a beer in his love seat.']","['And his dog, his left, sat in the seat of a hand-wearing glass man with beer.']"
['But the other three officers stood near talking to the pale yellow car drivers.'],['But the other three officers stood near talking to the pale yellow car drivers.']
['A young boy in jeans and t-shirt walked through a grassy field.'],['A young boy in jeans and a t-shirt walks.']
['A woman in a white dress danced in the middle of the field.'],['The woman in the dress danced.']
"['Two young girls, wearing purple and gray coats and the other in white, crawled through deep snow.']",['Two young girls crawled in.']
['A woman in white top stood in front of the unit machine.'],['A woman in a white top stood.']
['Women ran in the foreground as the other competitors stood on the sidelines.'],"['When other competitors stand up, women run.']"
['Beachgoers in bathing suits look for landforms in the distance.'],['People in bathing suits look like landforms.']
skip_because_no_change,skip
"['When a girl with spider man suit and red hairs sat on a toy horse, her mouth opened to the up arms.']",['When a girl with a spider man suit and red hairs sits down with her mouth open and her arms up.']
['A shirtless man with a hat and a backpack stood on the rocky shoreline.'],"['Standing, an unshirtless man with a hat and a backpack.']"
['A man riding a scooter in an office space enjoys it.'],['The man enjoying himself riding the scooter.']
"[""And near the shallow water's base stood an adult in blue shirt standing on top of a rock, with three children.""]",['And an adult in blue shirt stood near one adult and three children.']
skip_because_no_change,skip
['Four workers walk through fields of desert in the background.'],['Four workers walked.']
"[""And the smaller animals' larger, smaller tails blur one's face, leaping behind them larger.""]","[""And the tail of a small animal is larger than small, blurring one's face, and it leaps.""]"
"['Down a hill covered in snow, a smiling child in a bright pink and green dress.']",['A smiling child in a bright pink and green dress was down.']
"['Two rugged dogs, each with a blue rope tied to the mouth of a red object, walked through the path.']",['Two rugged dogs with blue ties walked.']
['A young swimsuit girl pours buckets of water from a young boy in a water park.'],['A young swimsuit girl pours buckets of water over a young boy.']
['Three people took the lift up the mountain at the Adirondack ski resort.'],['Three people took the lift up the mountain at the Adirondack ski resort.']
"['When a black and green-clothed figure, partially obscured by weeds in a rural, snowy outdoor setting, saw a camera posing with a sword-like object, he posed for the camera.']","['When a figure with black and green clothing, partially obscured by the rural, snowy outdoor setting, saw a camera posing with a sword-like object, he posed for the camera.']"
skip_because_no_change,skip
"['A dark-sized limb boy leaps with stretch, while a girl in a yellow silk outfit with a white karate uniform watches outside the fence.']","['The dark-sized boy leaps with his limbs stretched, while the girl in a yellow silk outfit watches with a white karate uniform.']"
['When another man looks at a man with a white apron he tends to look at a grill full of chicken parts to cook.'],['When another man looks at a man with a white apron he tends to have a full grill.']
['Floating underwater to look at the beauty of the sea for scuba divers.'],['Floating to look at the beautiful sea for scuba divers.']
['A man in a brown cap paddled the boat on a calm river.'],['A man in a brown cap paddled the boat.']
"['The girl in the other hand, holding a cup in front of her, sat in bed looking for a book with the words ""boom and crash!""']","['Sitting on a bed, a small girl in the other hand holding a cup, looked at a book with the words ""boom and crash!""']"
['A group of men of various ages looking for sheet music and wearing glasses at the time.'],['A group of men of various ages looking for sheet music and wearing glasses at the time.']
['Multi-racial children run on sports fields.'],['Multi-racial children run.']
['A wooded building in orange surrounded by white dogs running away.'],['The building was surrounded by white dogs running away.']
skip_because_no_change,skip
['There are a large group of people looking to Germany for fall train rides in the middle of the wilderness.'],['There are a large group of people looking to ride the train in Germany in the fall.']
['A woman stood in the field surrounded by three productive dogs.'],['A woman stood in the field surrounded by three productive dogs.']
"['And another man, climbing a small boulder, attempted to look at the man on his dirt bike.']","['And another man, climbing a small boulder, attempted to look at the man on his dirt bike.']"
skip_because_no_change,skip
skip_because_no_change,skip
['Three young women played near a car in the snow.'],['Nearly three young women played in the snow.']
['One man with pink and white shirt and the other two young men with brown shirt sat in a computer room.'],"['Two men, one in pink and the other in white, sat on their own, a young man in brown.']"
skip_because_no_change,skip
"['One of the toddlers walked on an old wooden bridge over the water, while the other played under.']","['One of the toddlers walked on an old wooden bridge over the water, while the other played under.']"
['A woman in shorts and t-shirt dressed walked in front of the waterfall in shallow water.'],['A woman in dress walks.']
['On the outside of the blue tennis court a woman in a white shirt and hat played tennis.'],['Women in white shirts and hats play tennis.']
skip_because_no_change,skip
['The woman climbed a volleyball net on the beach while the two others watched.'],['The woman climbed a volleyball net while the two others watched.']
"['When two women passed a painting on the wall, they rode together on bicycles.']","['When two women passed a painting, they rode together on a bicycle.']"
skip_because_no_change,skip
['Trotted along frozen ground in rural setting with two brown dogs.'],['Trotted along frozen ground in rural setting with two brown dogs.']
"['A man with a beret, sunglasses and goatee stood in a city corner with newspaper dispensers.']","['A man with a beret, sunglasses and goatee stood by a newspaper dispenser.']"
"['And looking inside, there was a lady in a white jacket standing next to the car.']",['And the lady in a white jacket looked inside and stood.']
['The woman held a toddler in a red shirt looking back.'],['Holding a toddler looking back.']
skip_because_no_change,skip
skip_because_no_change,skip
"[""DJs stand under ad's with some bright light.""]",['The people stood by.']
skip_because_no_change,skip
skip_because_no_change,skip
skip_because_no_change,skip
['4 people who created the colorful lanterns in their shop are in the process of doing it.'],['The colorful lanterns are in the process of being created by four people in the shop.']
skip_because_no_change,skip
skip_because_no_change,skip
"['In the locker room and gestures, one boy in a jester hat and the other two were laughing, the other two were a Hawaiian boy in a teenage hat.']",['And one boy in a jester hat and the other two were teenaged Hawaiian boys who gestured and laughed.']
skip_because_no_change,skip
"['Trick men in blue and red suits surf the ocean, performing their tricks.']",['Tricky men with a gift for performing while surfing the ocean.']
['The boy was hanged from the window of a yellow taxi.'],['The boy was hanged.']
['Bridesmaids and camera groomsmen at the wedding show their hula hoop skills.'],['The camera groomsman showed off his hula hoop skills.']
['And two men were in a small boat spraying something with water.'],"['And two men were spraying something with water, and were in a small boat.']"
"[""The two similar-characteristic young men, drinking tea and perhaps coffee, walked before, short before afternoon, to the farmer's market, like a 'young man', drinking tea.""]","['Two similar characterized young men drinking tea and perhaps a coffee were walking before a short walk in the afternoon, like two.']"
skip_because_no_change,skip
"['On cobblestone streets in the city, people with reflective gear rode white horses.']",['People with reflective gear ride white horses.']
skip_because_no_change,skip
['Little girls with red and black tops held long wooden sticks.'],['Holding a long wooden stick.']
['A man in a long sleeves and pant dress stood in front of a mountain with thick layers of snow covered.'],['The man in dress stood.']
"['And the group of women relaxed on their journey, sitting on the sidewalks.']",['And the group of women on the journey relaxed and sat.']
['A group of people walked around a bunch of booths with small flags above.'],['A group of people walked.']
['A band of young men with hands raised playing in front of people in the background in a room with color light.'],['A band playing young men with raised hands.']
"['But a bunch of construction workers work at the site, and the foreground is formed by an excavating vehicle.']",['But a bunch of construction workers are forming foregrounds with excavators.']
['A young boy in a cap and dark clothes walked into the park.'],['A young boy in a dress walks.']
"['A boy in a red shirt sits on the edge of the river, surrounded by rocks.']",['The boy in a red shirt sat down.']
['A small boy ran in front of a black dog with a mouth and a frisbee.'],['The small boy ran.']
['Two dogs walked on water bodies.'],['Two dogs walked.']
['Women watch a number-chested man perform some sort of winter sport like skiing.'],['Women watch a number-chested man perform some sort of winter sport like skiing.']
"['The rainwalkers, in red robes, umbrellas and shaved heads, attempted to walk away.']","['A walking person with a red robe, umbrella and shaved head attempted to.']"
"['Three construction workers along the street worked in poles holding two others, one wearing an orange safety vest and a blue jacket.']","['Three construction workers along the street worked in poles holding two others, one wearing an orange safety vest and a blue jacket.']"
['Three young adults looked at the camera in a school setting.'],['Three young adults looked at the camera.']
"['In a smoky background cloud, firefighters were investigating the problem against telephone poles.']",['Firefighters on ladders against telephone poles investigated the problem.']
"['Boots, a man in tank batman tops and an aviator, and a woman in a torn combat stocking in skirts walked down the city street.']","['Boots, a man in tank batman tops and an aviator, and a woman in a torn combat stocking in skirts walked down the city street.']"
skip_because_no_change,skip
skip_because_no_change,skip
['Many school children dressed in the same uniform sit on the stairs.'],['Many school children in dress sit there.']
['A man in brown shirt and jeans bent over himself to examine the black wheel of a railroad track train.'],['bent over for the examination of the man who had.']
['The boy in sport pajamas is sleeping in a large chewed-up armchair.'],['The boy in sports pajamas was sleeping.']
['A medium-sized dog jumped from a man-held hoop.'],['Jumping from the hoop held.']
skip_because_no_change,skip
['The woman stood in front of a dog with hind legs on its back.'],['The woman stood.']
"[""When one foot was balanced, the other boy's hands held it.""]","[""When he did, the boy's hands held the two hands, one balancing his feet.""]"
['The chef currently prepares food in the kitchen looking outside.'],['The chef is currently preparing the food.']
skip_because_no_change,skip
skip_because_no_change,skip
"['And looking at the ocean and the rocks, the light brown dog sitting on the back of the sand.']","['And looking at the ocean and the rocks, the light brown dog was sitting on its back.']"
['In front of the microphone was a man in white yarmulke with several other men in the background.'],['In front of the microphone was a man in a white yarmulke with several other men.']
"['When the sun shines through the open doorway, the woman behind brought her children into the gymnasium, wearing traditional Muslim headdresses.']","['When the sun shines through the open doorway, the woman behind brought her children into the gymnasium, wearing traditional Muslim headdresses.']"
['In a nearly empty courtyard in front of a large building a man rode a bicycle.'],['The man was riding a bicycle.']
skip_because_no_change,skip
"['Chewing on the snow, a man in his yard in some khakis with pants chewed on the snow.']","['The yard men, in some khakis hats with pants and a burgundy green coat, chewed on the snow.']"
skip_because_no_change,skip
skip_because_no_change,skip
skip_because_no_change,skip
"['And many walked up steep flights of stairs, wearing colorful and bright clothing, descendants of India.']","['And the Indian descendents wore bright and colorful clothing, walking up a steep flight of stairs.']"
['An old woman walking along a sidewalk filled with graffiti that fills the building.'],['An old walking woman.']
"['Behind him, a man in white searchwear, jumped on the bandwagon of graffiti walls.']",['The man behind the hat jumped on the bandwagon.']
['A man in a brown checker shirt threw a knife on the wall in front of a pong table.'],['A man in a brown checker-shirt threw a knife at the wall.']
skip_because_no_change,skip
['The man with a bandage and a glass baseball cap sat in the outside rope cafe with his left lady.'],['The left-wing lady and a man with a bandage and a glass and baseball cap sat down.']
['Several children play basketball games on the court.'],['Several children played basketball games.']
['The group chisel etch applied the pattern to the rock slab where the pattern was.'],"[""Group chisels' pattern etchings applied the pattern to the rock slabs.""]"
"['Up the stairs, a man with a mustache and a woman talking on her cellphone emerged from the underground subway.']","['Up the stairs, a man with a mustache and a woman talking on her cellphone emerged from the subway.']"
['A small gray-white jacket dog stood in the snow.'],['A small gray and white jacket dog stood.']
skip_because_no_change,skip
['A lady in a red vest held a shovel while posing for the camera with a man and a blue shovel.'],['The shovel was held while the camera posed.']
['Various people walked along a fence-line path surrounding a small building.'],['Various people walked.']
['Red jacket on rock top.'],['the person in the red jacket']
['A woman in shorts and white shirt rode the bike next to the man.'],['A woman in shorts and white shirt rode a bike.']
['A dining table in front of a Christmas tree seats women and an elderly man.'],['A dining table in front of a Christmas tree seats women and an elderly man.']
skip_because_no_change,skip
"['And a red vehicle, standing back, a man in all shades of dress wearing shades.']",['A red vehicle and a dressed man standing in a shade in a shade wearing a red.']
skip_because_no_change,skip
['A young boy in his pajamas tossed a red ball in the air.'],['A young boy in pajamas tossed a red ball.']
skip_because_no_change,skip
['A hand man sitting in a chair boasted on a wooden beer-having stick that he had something to eat.'],['A sitting hand man boasted of something to eat.']
"['The woman behind the danced along, projected on a large screen a video dance game.']","['The woman behind the danced along, projected onto a large screen.']"
skip_because_no_change,skip
skip_because_no_change,skip
"[""And there's a fence in the background, and a dog is running in the snow.""]","['and fences, dogs running.']"
['And the boy held a sandal and wore a hat.'],['And holding sandals and wearing a hat.']
['The man was sleeping in the lining of a boat propped against a brick wall.'],['The man is sleeping.']
['Another woman with hair and curlers got make up applying in front of an exotic animal print backdrop with a tank top in army green.'],['Another makeup application woman with a curler gets one.']
['Blond dress women hold hands with white dress flowers.'],['Holding hands with a blond dress woman.']
"['The man turned to talk to the woman, a man with aviator sunglasses and formal dress.']","['The man turned to talk to the woman, a man with aviator sunglasses and formal dress.']"
"['And the young man from afar looked from afar, and the woman in white dress walked away into the background with a bouquet, talking to the older man.']","['The more afar man looked afar, the woman with the bouquet walked away, the woman in white dress talked.']"
['Tennis players in green shirt were about to hit the ball with a racquet.'],['Tennis players in green shirt were about to hit the ball.']
skip_because_no_change,skip
['A blue short man with black shirt stood in front of a blue car with glass.'],['A man stood in a blue shorts and black shirt.']
skip_because_no_change,skip
['Two large dogs walked together through a trail that had leaves on the ground.'],['Two large dogs walked together.']
skip_because_no_change,skip
['But a few looked on as if a young boy was behind him playing basketball.'],['But the young boy behind him was playing basketball.']
['The black dog ran very fast on light brown ground.'],['The black dog ran very fast.']
"['And the boy, a young toddler with a bright colored toy hammer to hold, sat on the floor wearing a large orange star glass.']",['And a young toddler with a colored toy hammer to hold wore a large orange star glass sitting on his lap.']
['The little boy in the orange shirt was playing outside playing with bubbles.'],['The little boy in the orange shirt played bubbles.']
"['But the man singing ""It\'s the band members and the surrounds playing instruments like drums and keyboards"" was not used in the background.']","['But the man singing ""It\'s a band"" surrounded by members of the band playing instruments like drums and keyboards is not using other instruments.']"
skip_because_no_change,skip
"['A young brunette grade schooler in a festive red long-sleeved over gray pant lay dead on the brown couch, head-sleeping in a mockingbird brown pillow, reading to her younger classmates in a killer read in a long-red shirt and gray pant.']","['A young, grade-breast brunette lay dying in her sleep reading to herself, her head-laughtering side-laughter wearing a festive long red, pulled-out shirt and gray pants.']"
['Street vendors sell vegetables and fruits in large ground baskets and stands.'],['Vendors sell vegetables and fruits.']
['The brown dog with wide open mouth ran over the obstacle course.'],"['The brown dog, with wide open mouth, ran.']"
['When the cross-country skiers behind the way made their way through the snow left behind the trail.'],"['When the cross-country skiers behind the way made their way through, they left behind.']"
['And the woman was looking down at a white piece of hair that looked like a wedding veil.'],"['And the woman was wearing a white piece of hair that looked like a wedding veil, looking down at her.']"
"['And sitting down in brown, standing by a man, a tiny pink girl in her pink.']",['And the tiny girl in pink stood down in brown.']
['A glass-wearing fist-wearing woman smiled as she raised her voice to the air.'],['A glass-wearing fist-wearing woman smiled as she raised her voice to the air.']
"['A man with a beard sleeping in some grass, wearing a hat, a pair of gloves and several coats, was older than he was.']","['A man with a beard sleeping in a hat, pair of gloves and several coats, older than himself, wearing a hat and several coats.']"
['A group of people on the beach ran in the sand away from the water.'],['The group of people run.']
['The man with the adidas menu in black and gray looked at the restaurant menu.'],['The man with the adidas menu in black and gray looked at the menu.']
"['But the two men, with yellow aprons and red shirts, stood in front of a wall of colorful animals, paused at the table in front of them.']",['But two men stood with yellow aprons and red shirts.']
skip_because_no_change,skip
"['On a small stage an old man plays a string instrument, while others pass by listening and some sit at the table.']",['But the old man played a string instrument.']
['The young boy who had slid down the yellow slide was about to enter the pool after he had slid down.'],['The young boy was about to enter after sliding down the yellow slide.']
skip_because_no_change,skip
['On a tennis clay court a woman holding a racket in a tennis red outfit stood holding a racket.'],['A woman holding a racket in a tennis red outfit stood.']
skip_because_no_change,skip
"['A white, mouthed dog with green objects leaps into the air.']","['A white, mouthed dog with green objects leapt.']"
skip_because_no_change,skip
skip_because_no_change,skip
skip_because_no_change,skip
"['But another accessing the upper shirt was a woman in the foreground wearing a green hat, while a man in a black t-shirt and one in a gray shirt appeared in the store.']","['But another man appeared in a black t-shirt and another in a gray shirt, accessing the upper shirt.']"
['A woman in an orange jacket sat behind a dog in a canoe on a lake.'],['The woman in an orange jacket sat.']
"['Outside the tent, a picture was taken of a chicken and a striped shirted child with an old man with a long white beard.']",['Pictured are a chicken and a child in striped shirt and an old man with a long white beard.']
['A fluffy dog plays with a small toy in the living room.'],['The fluffy dog was playing with a small toy.']
['The girl with the hand where she stood sideways with a glass of wine slashed her present card to a pretty sitting on the couch arm.'],['A pretty sitting hand-slashed card presented to a sideways standing girl with a glass of wine.']
"['On the racket of a young tennis player dressed in black, she carried many tennis balls.']",['Young tennis player black-dressed racket women carry many tennis balls.']
['A yellow short girl with a white jacket had a tennis ball in her left pocket.'],['The yellow short girl with a white jacket had a tennis ball.']
['A female tennis player was about to hit a tennis ball with a racket.'],['A female tennis player was about to hit a tennis ball.']
['A guy in a long sleeve shirt and blue jeans walks down the sidewalk.'],['A guy in a long sleeve shirt and blue jeans walks down the sidewalk.']
skip_because_no_change,skip
"[""Women and men looked in the machines for pictures marked as other people's photographs.""]",['The women and the man looked at the marks on the pictures.']
"[""In rodeos, children in chapsticks, leather vests and black hats vetoed the steer's nose.""]","[""Children in chapsticks, leather vests and black hats vetoed the steer's nose.""]"
['Crouching in the sand with a little boy holding a yellow plastic shovel'],['Crouch.']
['Two people were sitting at a table with several glasses.'],['Two people sat down.']
"[""The man's skateboard flew in the air above a white staircase.""]",['Flying in the air of a skateboard man.']
"['And another young boy held a stick outside, and one young boy held a plastic sward.']","['And another young boy held a stick outside, and one young boy held a plastic sward.']"
skip_because_no_change,skip
['The 3 glass elevators were full of people in the intricate building.'],['Three glass elevators were full of people.']
"['But other children climbed over other parts of the structure, while the children jumped from an indoor climbing gym.']","['But other children climbed over other parts of the structure, jumping from indoor gyms.']"
['A man in a rucksack carrying a sunhat poses on the side of a deserted hill.'],['Posing with a man in a rucksack and sunhat.']
['Construction workers in numbers in blue hats and yellow vests work outside.'],['Construction workers in numbers in blue hats and yellow vests.']
['On a sandy beach a man with a close face and shaved head sat holding an electric razor.'],"['A man with a shaved head sits holding an electric razor, face down.']"
['A small child in a red shirt stood in front of a large television screen showing unfocused images.'],['A small child in a red shirt stood in front of a large television screen showing unfocused images.']
skip_because_no_change,skip
"[""Child swings in the child's stomach in a tire swing amid the tire.""]",['The child in the stomach swings.']
"['And the older man, covered in a gray shawl, sat along a brick white and yellow wall, wearing a red turban.']",['And the more covert man was wearing a red turban and sitting.']
['A woman in a blue shirt opened a green hat as a present.'],['A woman in a blue shirt opened a green hat as a present.']
['Two little girls sit on yellow rubber ball toys.'],['Two little girls were sitting on the floor.']
skip_because_no_change,skip
['Large formal-dressed families pose in front of a large wooden door.'],['Large formal-dressed families pose.']
['The young man in a swim trunk was juggling on the beach.'],['The young man in a swim trunk was a juggler.']
"['The boy in diapers, with a chair and toys in a room with red pillows and striped covering, jumped on the bandwagon of bed.']",['The boy in diapers with a chair and toys jumped on the bandwagon of bed.']
"['And the baby in blue outfit held her right hand, looking for a mop bucket.']",['And the right hand of the baby in blue outfit was held in a mop bucket. Looks like it was.']
['A man in white shirt looked at a metal construction window.'],['A man in white shirt looked at a metal construction window.']
['4 people walked down the street in front of a yellow building.'],['Four people walked.']
"['Crowded men walked into the room, blue necklaces attached to number badges, neon green necklaces, backpacks, blue jeans and brown T-shirts.']","['Crowded men walked with blue necklaces attached, neon green necklaces, backpacks, blue jean jackets and brown T-shirts.']"
['Three stood on a hill partly covered in snow.'],['Three stood.']
"['In a large building, a man in a lack of a loaded shirt sat with an organ, looking at a number of people.']","['As the number of people looked on, a man in a laden, lacklustre shirt sat down.']"
['cattle walked in front of many people on orange buses.'],['cattle walking.']
['The baby walked underneath a column-supported tunnel.'],['The baby walked.']
['Around the college years a group of kids sat in a wooden board coffee table house.'],['A group of kids sit around for a year or so in college.']
['A boy with a blue wrestler mask was significant next to several others.'],['The boy had a blue wrestler mask and was significant.']
['And the man in a blue sweatshirt stood outside writing in a notebook.'],"['And the man in a blue sweatshirt wrote ""Stood.']"
"['A black dress woman stood by, pulling the cart in front of two men sitting on park benches.']","['A black dress woman stood by, pulling the cart in front of two men sitting on park benches.']"
"['And looking at the structure, the man was kneeling on a metal roof.']",['And the man looked at the structure and was on his knees.']
"['And another little girl rode a tricycle, holding hands at a street fair.']",['and riding a tricycle - hands held']
['Or where the man with the blond is talking in front of the table or debates with the man with the blond.'],['Or debate a man who has a blond man and talk.']
skip_because_no_change,skip
['A group of loaded harnessed dogs stood together in the snow.'],['A group of loaded dogs with harnesses stood together.']
['A black and brown dog stared at something in the distance.'],['Something stared at the black and brown dog.']
['A group of women dancing on stage with pompoms.'],['a group of women dancing with pompoms']
['The woman walked up a staircase surrounded by some sort of concrete structure.'],['The woman walked up.']
"[""But there are a lot of water, men standing around an area that the pictures don't know.""]","[""But there are a lot of water, men standing around an area that the pictures don't know.""]"
skip_because_no_change,skip
['5 children jump on trampolines outside large when the snow melts.'],['5 children jump on trampolines when the snow melts.']
"['When two ladies sit on rocks, they wear pink saris, one of which has a gold sari.']","['When two ladies sit, they wear pink saris, one with a gold sari and the other with a gold sari.']"
"['When three young women in the kitchen displayed baked goods, they embraced.']","['When three young women displayed baked goods, they were embraced.']"
"['There were people in a bounce house like a castle, watching and sitting with several people.']",['People.']
['A man walks down the street with three white dogs with a spot on a palm tree.'],['The man walked three white dogs with spots.']
skip_because_no_change,skip
"['The iced drink, held in a covered hand, was held by an iced girl with her concentration face.']","['The covered hand and face girl drank iced drinks at him, looking concentrated.']"
skip_because_no_change,skip
['Three dogs came face-to-face from a snowy field.'],['Three dogs came face-to-face into a snowy field.']
skip_because_no_change,skip
['The green shirted boy in arms jumped in the air at the end of the bowling alley.'],['The boy in a green shirt and arms jumped in the air at the end of the alley.']
skip_because_no_change,skip
skip_because_no_change,skip
['There are sports green fields with players beneath a pink and blue sky.'],['A sports green field with players.']
skip_because_no_change,skip
['A man with a red cap flew in the path in front of a white building.'],['The man with the red cap flew by.']
['The pool was arranged in star shape by a group of synchronized swimmers.'],['The group of synchronized swimmers were arranged in star shape.']
"['Two police officers stood in the shopping zone, conversing in reflective jackets.']",['Two police officers stood in conversation in a reflective jacket.']
['A woman in a blue tuxedo dances on stage in front of a middle-sized audience.'],['A woman in a blue tuxedo danced.']
['The young boy in blue shirt was in a spiral room with many books.'],['In the spiral room was a young boy in blue shirt.']
"['Two young skateboard riders passed by on the street, and were down in the sidewalk squatting, and a red and black dog stopped by the doorway.']","['Two young skateboard riders passed by on the street, and were down in the sidewalk squatting, and a red and black dog stopped by the doorway.']"
"['And when a woman discovers a kitchenaid blender, she opens her gifts happily.']",['And the woman discovered a kitchenaid blender and opened her gift happily.']
skip_because_no_change,skip
